Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
flemive01,43:00,2,9,.222,0,0,,3,3,1.000,2,3,5,8,1,0,3,3,7
millere01,41:00,5,11,.455,1,3,.333,6,6,1.000,0,4,4,1,1,0,0,2,17
schrede01,40:00,9,16,.563,0,0,,8,8,1.000,0,7,7,2,0,0,4,5,26
smitsri01,38:00,9,10,.900,0,0,,5,6,.833,2,4,6,1,0,2,2,4,23
persoch01,38:00,4,13,.308,0,4,.000,2,4,.500,1,3,4,5,1,0,1,5,10
sandemi01,10:00,2,3,.667,1,1,1.000,0,0,,1,1,2,2,0,0,0,0,5
nattca01,9:00,1,3,.333,0,0,,0,0,,1,0,1,1,0,0,2,3,2
thompla01,9:00,1,3,.333,0,0,,0,0,,1,1,2,1,0,1,2,4,2
wittmra01,7:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
greenri01,5:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0
Team Totals,240,33,71,.465,2,8,.250,24,27,.889,8,24,32,21,3,3,15,27,92
Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
thomais01,38:00,8,15,.533,1,1,1.000,3,4,.750,3,5,8,5,0,2,4,4,20
laimbbi01,35:00,4,9,.444,1,2,.500,0,0,,1,13,14,2,0,1,1,5,9
dumarjo01,32:00,4,11,.364,0,0,,4,4,1.000,0,0,0,5,1,0,3,0,12
rodmade01,27:00,2,5,.400,0,0,,0,1,.000,4,2,6,2,0,0,4,3,4
edwarja01,24:00,8,12,.667,0,0,,5,6,.833,2,1,3,0,0,2,2,4,21
sallejo01,35:00,9,16,.563,0,0,,2,3,.667,7,4,11,1,0,0,1,5,20
johnsvi01,26:00,6,12,.500,0,0,,2,2,1.000,2,0,2,1,2,0,1,4,14
aguirma01,22:00,2,11,.182,0,0,,0,0,,2,0,2,0,0,0,1,3,4
bedfowi01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,43,91,.473,2,3,.667,16,20,.800,21,25,46,16,3,5,17,28,104
