Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
daughbr01,42:00,10,19,.526,0,0,,5,8,.625,1,8,9,4,0,1,6,3,25
pricema01,40:00,5,10,.500,1,2,.500,8,8,1.000,0,3,3,4,1,0,1,3,19
ehlocr01,36:00,4,9,.444,0,1,.000,2,4,.500,2,1,3,5,0,0,2,4,10
nancela01,36:00,2,7,.286,0,0,,5,7,.714,2,6,8,3,3,3,2,5,9
bennewi01,15:00,2,5,.400,0,0,,0,0,,1,0,1,2,0,0,0,3,4
williho01,40:00,8,14,.571,0,0,,4,4,1.000,3,10,13,0,0,1,2,6,20
chievde01,11:00,1,2,.500,0,0,,4,6,.667,0,1,1,0,1,0,0,0,6
kerrst01,9:00,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,1,0
rollitr01,7:00,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,2
mortojo01,3:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
mokespa01,1:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2
Team Totals,240,33,71,.465,1,3,.333,30,39,.769,9,31,40,20,5,5,13,26,97
Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
hawkihe01,41:00,14,26,.538,4,6,.667,7,8,.875,1,3,4,2,4,0,2,3,39
mahorri01,38:00,5,13,.385,0,0,,2,2,1.000,1,7,8,0,1,2,2,2,12
barklch01,36:00,7,15,.467,0,3,.000,4,7,.571,8,11,19,2,1,0,0,4,18
gminsmi01,32:00,4,11,.364,0,0,,4,4,1.000,3,3,6,0,0,2,1,3,12
dawkijo01,31:00,3,9,.333,0,0,,4,4,1.000,0,3,3,14,2,0,1,4,10
anderro01,26:00,4,9,.444,0,0,,8,8,1.000,3,4,7,2,0,0,1,3,16
brooksc01,17:00,0,3,.000,0,1,.000,1,3,.333,1,0,1,2,0,0,1,2,1
thornbo01,13:00,1,4,.250,0,0,,1,2,.500,5,0,5,2,1,0,1,5,3
nimphku01,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
copella01,2:00,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,0,2
payneke01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,39,93,.419,4,10,.400,31,38,.816,22,31,53,24,9,4,9,26,113
