Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
humphja01,33:00,8,19,.421,0,1,.000,4,4,1.000,1,5,6,6,1,0,2,5,20
roberal01,31:00,3,11,.273,0,0,,2,5,.400,1,3,4,6,1,0,5,4,8
sikmaja01,24:00,2,9,.222,0,4,.000,4,5,.800,2,2,4,1,1,0,2,4,8
brownto01,16:00,3,8,.375,0,0,,2,4,.500,1,1,2,1,1,0,3,4,8
roberfr01,16:00,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,1,1,4
andergr01,25:00,6,10,.600,0,0,,2,5,.400,2,3,5,0,2,0,0,5,14
breuera01,24:00,4,8,.500,0,0,,0,1,.000,3,2,5,0,0,2,0,4,8
kornefr01,22:00,1,3,.333,1,3,.333,0,0,,0,1,1,0,0,1,0,1,3
presspa01,20:00,1,6,.167,0,1,.000,3,6,.500,1,3,4,5,2,0,0,6,5
piercri01,17:00,6,12,.500,0,0,,0,0,,1,0,1,2,1,0,1,0,12
colembe01,8:00,3,4,.750,0,0,,0,0,,2,3,5,0,1,0,0,2,6
horfoti01,4:00,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,2,0,2
Team Totals,240,40,94,.426,1,9,.111,17,30,.567,14,25,39,22,11,3,16,36,98
Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
westma01,39:00,4,10,.400,0,0,,8,10,.800,11,13,24,0,1,2,5,2,16
chambto01,32:00,13,21,.619,0,1,.000,15,18,.833,2,3,5,2,0,2,5,2,41
majerda01,32:00,6,13,.462,1,1,1.000,7,11,.636,3,3,6,0,2,0,2,1,20
hornaje01,24:00,2,7,.286,0,0,,4,4,1.000,0,2,2,9,3,1,2,3,8
perryti01,22:00,3,6,.500,0,0,,3,4,.750,1,4,5,1,0,1,2,1,9
johnsed03,29:00,3,13,.231,0,1,.000,5,5,1.000,4,5,9,3,0,0,1,3,11
grantgr01,28:00,3,6,.500,0,0,,2,2,1.000,0,4,4,5,0,0,4,3,8
battlke01,13:00,3,5,.600,0,0,,0,0,,0,2,2,0,0,0,1,4,6
morrimi01,9:00,2,3,.667,0,0,,0,1,.000,1,2,3,0,0,0,1,2,4
langan01,9:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,1,1,4,0
gilliar01,3:00,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,0,0,0
Team Totals,240,39,87,.448,1,3,.333,44,55,.800,23,40,63,21,6,7,24,25,123
