Minnesota Timberwolves
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
murphto01,37:00,6,10,.600,1,2,.500,3,3,1.000,1,5,6,1,0,1,1,4,16
campbto01,37:00,5,19,.263,0,1,.000,3,4,.750,3,2,5,5,0,0,4,2,13
richapo01,36:00,8,15,.533,1,1,1.000,2,2,1.000,0,1,1,3,1,0,1,1,19
breuera01,27:00,6,9,.667,0,0,,2,3,.667,0,2,2,4,1,2,0,3,14
corbity01,15:00,2,7,.286,0,0,,1,1,1.000,2,1,3,0,1,1,1,1,5
mitchsa01,33:00,2,8,.250,0,0,,2,2,1.000,2,7,9,0,1,1,3,5,6
lowesi01,31:00,1,3,.333,0,0,,1,2,.500,0,0,0,6,3,0,1,2,3
royaldo01,7:00,1,2,.500,0,0,,1,1,1.000,0,0,0,1,0,1,1,2,3
leonaga01,6:00,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,0,0
westdo01,4:00,0,2,.000,0,0,,2,2,1.000,2,1,3,1,0,0,0,1,2
rothsc01,4:00,0,3,.000,0,0,,2,2,1.000,2,1,3,0,0,1,1,2,2
sellebr01,3:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0
Team Totals,240,31,80,.388,2,4,.500,19,22,.864,12,22,34,21,7,8,14,24,83
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
barroda01,40:00,4,17,.235,1,5,.200,4,4,1.000,2,4,6,2,1,0,1,1,13
mcmilna01,34:00,1,3,.333,0,1,.000,0,2,.000,2,3,5,10,1,1,1,3,2
mckeyde01,32:00,7,15,.467,0,0,,4,4,1.000,4,5,9,2,1,2,7,1,18
cagemi01,26:00,5,10,.500,0,0,,2,4,.500,1,6,7,1,0,0,1,1,12
polynol01,24:00,3,6,.500,0,0,,4,6,.667,4,3,7,1,0,1,0,2,10
dailequ01,25:00,3,11,.273,0,0,,2,2,1.000,2,2,4,2,0,0,0,1,8
farmeji01,20:00,5,7,.714,0,0,,2,2,1.000,0,2,2,1,1,0,2,4,12
kempsh01,17:00,5,8,.625,0,1,.000,6,7,.857,3,3,6,2,1,1,1,4,16
johnsst03,14:00,4,7,.571,0,0,,0,0,,1,3,4,1,0,1,0,4,8
johnsav01,4:00,0,2,.000,0,0,,0,0,,1,0,1,0,1,0,0,1,0
meentsc01,4:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Team Totals,240,37,87,.425,1,7,.143,24,31,.774,20,32,52,22,6,6,13,22,99
