Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
wileymo01,39:00,6,13,.462,0,0,,0,1,.000,1,2,3,6,3,1,3,3,12
catlete01,38:00,6,18,.333,0,0,,5,6,.833,3,3,6,1,1,0,3,3,17
theusre01,36:00,8,17,.471,0,1,.000,15,15,1.000,1,2,3,9,0,0,4,2,31
acresma01,33:00,5,5,1.000,0,0,,1,4,.250,0,6,6,0,1,1,1,5,11
reynoje01,32:00,3,14,.214,0,0,,2,2,1.000,3,0,3,4,5,2,1,4,8
anderni01,29:00,8,15,.533,0,0,,3,4,.750,2,5,7,1,0,1,1,1,19
greensi02,19:00,2,8,.250,0,0,,1,2,.500,2,2,4,1,0,0,0,4,5
anslemi01,7:00,0,0,,0,0,,2,2,1.000,1,1,2,0,0,0,1,3,2
skilesc01,7:00,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,0,1,0
Team Totals,240,38,91,.418,0,1,.000,29,36,.806,13,21,34,23,11,5,14,26,105
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
seikaro01,42:00,13,19,.684,0,0,,5,8,.625,8,13,21,2,1,2,7,4,31
edwarke01,28:00,6,12,.500,0,0,,1,2,.500,1,5,6,2,2,2,2,1,13
douglsh01,20:00,1,5,.200,0,0,,5,10,.500,0,1,1,7,0,0,4,2,7
frankte01,20:00,3,5,.600,0,0,,1,2,.500,3,3,6,2,2,0,2,4,7
ricegl01,19:00,3,8,.375,0,1,.000,0,0,,1,2,3,1,0,1,2,1,6
longgr01,31:00,2,8,.250,0,0,,6,8,.750,2,5,7,3,2,2,2,4,10
sparrro01,28:00,9,12,.750,0,0,,1,2,.500,1,2,3,8,0,0,0,1,19
thompbi01,26:00,3,6,.500,0,0,,1,2,.500,4,3,7,3,1,1,1,5,7
haffnsc01,20:00,6,11,.545,0,0,,2,2,1.000,1,0,1,3,0,0,0,2,14
daviste01,6:00,4,6,.667,0,0,,0,0,,2,0,2,0,0,0,0,2,8
Team Totals,240,50,92,.543,0,1,.000,22,36,.611,23,34,57,31,8,8,20,26,122
