Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
olajuha01,39:00,11,19,.579,0,0,,6,8,.750,4,11,15,0,1,0,2,4,28
floydsl01,32:00,8,15,.533,0,3,.000,1,1,1.000,0,2,2,9,3,0,0,5,17
thorpot01,28:00,2,10,.200,0,0,,4,7,.571,4,8,12,2,0,0,4,4,8
johnsbu01,26:00,4,13,.308,0,0,,2,2,1.000,3,2,5,0,3,1,3,5,10
wiggimi01,24:00,2,8,.250,0,0,,4,5,.800,2,2,4,3,1,0,3,5,8
maxweve01,27:00,3,9,.333,0,0,,3,4,.750,0,2,2,3,1,0,4,2,9
caldwad01,19:00,1,4,.250,0,0,,1,4,.250,4,4,8,1,0,1,2,4,3
bowiean01,16:00,2,5,.400,0,2,.000,2,2,1.000,1,2,3,2,0,1,0,0,6
smithla01,16:00,1,4,.250,0,0,,0,3,.000,2,2,4,0,0,0,1,2,2
woodsmi01,13:00,2,4,.500,0,1,.000,1,2,.500,0,0,0,0,0,0,2,2,5
Team Totals,240,36,91,.396,0,6,.000,24,38,.632,20,35,55,20,9,3,21,33,96
Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
drexlcl01,31:00,9,18,.500,0,0,,3,4,.750,2,6,8,3,3,2,0,4,21
willibu01,29:00,2,8,.250,0,0,,3,7,.429,4,6,10,1,1,1,6,3,7
portete01,28:00,2,8,.250,1,4,.250,12,13,.923,0,2,2,11,2,0,0,1,17
kerseje01,27:00,4,11,.364,0,0,,5,6,.833,4,1,5,2,2,2,0,2,13
duckwke01,23:00,5,12,.417,0,0,,2,2,1.000,3,2,5,1,0,0,2,5,12
bryanma01,22:00,4,5,.800,0,0,,0,0,,1,5,6,1,1,1,1,5,8
robincl02,22:00,3,11,.273,0,0,,1,4,.250,2,4,6,1,0,0,4,2,7
youngda01,20:00,3,6,.500,0,1,.000,2,2,1.000,0,2,2,4,0,0,3,1,8
coopewa01,18:00,0,4,.000,0,0,,3,4,.750,2,7,9,1,0,1,0,3,3
petrodr01,15:00,5,10,.500,0,1,.000,0,0,,2,2,4,0,0,0,0,1,10
irvinby01,3:00,1,2,.500,0,0,,1,2,.500,0,0,0,0,0,0,0,0,3
johnsna01,2:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Team Totals,240,38,96,.396,1,6,.167,32,44,.727,20,38,58,25,9,7,16,27,109
