Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mullich01,56:00,14,23,.609,2,3,.667,6,6,1.000,1,6,7,1,3,0,1,6,36
richmmi01,51:00,8,24,.333,2,5,.400,11,12,.917,2,3,5,5,0,0,4,3,29
hardati01,49:00,13,25,.520,1,3,.333,7,9,.778,2,5,7,10,2,0,1,6,34
tolbeto01,33:00,5,12,.417,0,0,,3,5,.600,3,2,5,3,2,0,3,5,13
listeal01,28:00,3,3,1.000,0,0,,0,0,,1,7,8,0,1,3,1,4,6
higgiro01,34:00,2,7,.286,0,2,.000,2,4,.500,6,3,9,1,0,0,4,4,6
pritcke01,20:00,1,1,1.000,0,0,,0,0,,0,2,2,1,1,0,1,4,2
hillty01,16:00,4,5,.800,0,0,,1,2,.500,1,2,3,1,0,1,3,5,9
mokespa01,2:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
robinla01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
Team Totals,290,50,101,.495,5,14,.357,30,38,.789,16,30,46,22,9,4,19,37,135
Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
maxweve01,48:00,12,22,.545,6,11,.545,0,1,.000,2,6,8,6,2,0,6,6,30
thorpot01,46:00,8,14,.571,0,0,,8,8,1.000,5,4,9,5,2,1,2,6,24
johnsbu01,46:00,9,18,.500,0,0,,3,4,.750,2,3,5,2,0,2,1,3,21
smithla01,43:00,1,5,.200,0,0,,1,4,.250,7,18,25,1,1,0,1,5,3
smithke01,35:00,7,13,.538,2,2,1.000,4,5,.800,0,4,4,6,3,0,4,5,20
floydsl01,34:00,4,12,.333,0,2,.000,22,27,.815,0,1,1,10,3,1,6,5,30
woodda01,19:00,4,6,.667,0,1,.000,1,4,.250,0,0,0,1,4,0,2,6,9
caldwad01,11:00,1,2,.500,0,0,,0,0,,0,3,3,0,0,0,1,0,2
winchke01,8:00,2,2,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,4
Team Totals,290,48,94,.511,8,16,.500,39,53,.736,16,39,55,31,15,5,23,36,143
