Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
polynol01,43:00,6,8,.750,0,0,,3,6,.500,1,7,8,1,0,0,0,2,15
mannida01,39:00,6,20,.300,0,0,,3,4,.750,2,4,6,4,1,1,3,3,15
smithch01,39:00,7,16,.438,0,0,,1,1,1.000,1,9,10,1,2,2,7,5,15
harpero01,36:00,8,16,.500,4,5,.800,6,6,1.000,1,4,5,4,4,0,1,4,26
garlawi01,27:00,4,6,.667,0,1,.000,0,0,,1,3,4,5,0,0,1,3,8
normake01,23:00,4,8,.500,0,0,,2,2,1.000,3,1,4,1,0,0,1,3,10
garrito01,21:00,4,8,.500,0,1,.000,0,0,,1,5,6,6,0,0,2,1,8
martije01,12:00,0,6,.000,0,3,.000,0,0,,0,1,1,1,0,0,0,1,0
Team Totals,240,39,88,.443,4,10,.400,15,19,.789,10,34,44,23,7,3,15,22,97
Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
malonka01,44:00,16,26,.615,0,1,.000,7,9,.778,1,11,12,5,4,1,2,3,39
stockjo01,40:00,6,12,.500,0,1,.000,3,4,.750,1,5,6,15,2,0,4,2,15
eatonma01,39:00,0,4,.000,0,0,,0,0,,4,7,11,3,0,4,1,4,0
malonje01,36:00,11,16,.688,0,0,,0,0,,0,2,2,1,1,0,3,2,22
edwarbl01,30:00,8,14,.571,0,2,.000,1,3,.333,1,4,5,5,2,1,3,3,17
baileth01,27:00,1,5,.200,0,0,,2,2,1.000,0,5,5,2,0,1,1,2,4
brownmi01,13:00,0,4,.000,0,0,,2,4,.500,0,2,2,0,0,0,0,2,2
griffda01,5:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
ruddde01,4:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,0,0
brownto01,2:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0
Team Totals,240,42,84,.500,0,5,.000,15,22,.682,8,36,44,32,9,7,15,18,99
