Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
skilesc01,39:00,6,12,.500,3,4,.750,2,2,1.000,2,0,2,6,0,0,6,1,17
smithot01,38:00,7,13,.538,0,0,,4,5,.800,2,4,6,2,0,0,2,5,18
scottde01,35:00,10,18,.556,0,3,.000,4,4,1.000,0,2,2,1,2,0,2,3,24
kitegr01,31:00,2,5,.400,0,0,,2,3,.667,5,8,13,3,1,1,3,4,6
turneje01,30:00,5,11,.455,0,0,,2,3,.667,2,8,10,1,1,0,3,3,12
acresma01,30:00,2,5,.400,0,1,.000,3,4,.750,3,4,7,1,1,0,2,4,7
wileymo01,19:00,1,3,.333,0,0,,0,0,,0,0,0,2,0,0,2,2,2
reynoje01,18:00,3,6,.500,0,0,,4,4,1.000,0,1,1,0,0,1,3,1,10
Team Totals,240,36,73,.493,3,8,.375,21,25,.840,14,27,41,16,5,2,23,23,96
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
johnsed03,30:00,8,12,.667,2,2,1.000,0,0,,0,5,5,3,1,0,1,3,18
kempsh01,29:00,9,14,.643,0,0,,3,6,.500,4,3,7,2,5,1,3,4,21
threase01,24:00,5,9,.556,0,0,,1,2,.500,1,1,2,6,2,0,0,2,11
benjabe01,24:00,3,10,.300,0,0,,4,6,.667,3,3,6,0,0,1,3,3,10
paytoga01,21:00,1,3,.333,0,0,,3,4,.750,0,0,0,6,2,0,1,1,5
mckeyde01,31:00,3,10,.300,0,0,,4,4,1.000,3,2,5,1,3,0,1,2,10
piercri01,27:00,6,12,.500,0,0,,6,6,1.000,0,2,2,1,0,0,1,0,18
barroda01,27:00,4,9,.444,0,3,.000,1,1,1.000,0,2,2,7,2,0,1,1,9
cagemi01,27:00,1,4,.250,0,1,.000,1,2,.500,2,3,5,0,0,2,0,4,3
Team Totals,240,40,83,.482,2,6,.333,23,31,.742,13,21,34,26,15,4,11,20,105
