Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
smithch01,43:00,8,19,.421,0,0,,9,11,.818,3,8,11,2,1,3,2,4,25
polynol01,41:00,7,10,.700,0,0,,3,6,.500,6,12,18,1,0,0,2,2,17
harpero01,38:00,3,11,.273,2,5,.400,3,4,.750,2,1,3,4,1,3,2,2,11
garlawi01,33:00,4,8,.500,0,0,,0,0,,0,3,3,9,4,0,5,4,8
mannida01,30:00,7,17,.412,0,1,.000,1,1,1.000,3,3,6,2,1,2,2,4,15
normake01,20:00,4,12,.333,0,0,,2,2,1.000,0,2,2,1,0,0,2,1,10
garrito01,15:00,1,3,.333,0,2,.000,0,0,,0,1,1,7,3,0,2,2,2
martije01,10:00,4,6,.667,3,4,.750,0,0,,0,0,0,0,0,0,0,2,11
vaughlo01,10:00,1,5,.200,0,0,,0,0,,1,1,2,0,0,0,1,1,2
Team Totals,240,39,91,.429,5,12,.417,18,24,.750,15,31,46,26,10,8,18,22,101
Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
maystr01,37:00,5,14,.357,2,4,.500,0,0,,0,3,3,1,3,0,4,1,12
carran01,36:00,11,27,.407,0,0,,8,10,.800,5,6,11,3,1,3,2,5,30
simmoli01,32:00,6,12,.500,0,0,,5,6,.833,0,7,7,3,1,2,4,3,17
causwdu01,30:00,2,6,.333,0,0,,2,2,1.000,3,2,5,4,2,2,5,2,6
sparrro01,16:00,1,1,1.000,0,0,,0,0,,1,2,3,2,0,1,1,0,2
lesji01,31:00,6,8,.750,4,5,.800,4,4,1.000,0,3,3,9,0,0,1,3,20
bonnean01,29:00,5,6,.833,0,0,,1,2,.500,1,7,8,2,4,1,1,4,11
callori01,12:00,1,2,.500,0,0,,1,1,1.000,0,0,0,0,0,0,4,0,3
wennibi01,12:00,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,1,2
fredean01,5:00,1,2,.500,0,0,,0,0,,0,1,1,2,0,0,0,1,2
Team Totals,240,39,81,.481,6,9,.667,21,25,.840,10,31,41,27,11,9,22,20,105
