San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
robinda01,45:00,8,20,.400,0,0,,7,8,.875,6,9,15,0,1,8,4,4,23
anderwi01,40:00,2,11,.182,0,0,,1,2,.500,1,3,4,6,0,1,5,3,5
elliose01,38:00,9,19,.474,0,0,,6,7,.857,2,4,6,2,1,0,3,2,24
garrito01,24:00,2,4,.500,0,1,.000,0,0,,0,2,2,4,2,0,1,3,4
carran01,17:00,4,9,.444,0,0,,0,0,,4,0,4,1,0,1,1,3,8
presspa01,25:00,1,3,.333,0,1,.000,0,0,,0,4,4,0,0,0,0,0,2
greensi02,17:00,1,3,.333,0,0,,2,2,1.000,0,4,4,0,0,0,2,2,4
royaldo01,15:00,1,4,.250,0,0,,3,5,.600,0,1,1,1,1,0,0,1,5
copato01,13:00,2,2,1.000,0,0,,0,0,,2,2,4,0,0,0,0,2,4
suttogr01,6:00,0,2,.000,0,2,.000,2,2,1.000,0,1,1,0,0,0,2,0,2
Team Totals,240,30,77,.390,0,4,.000,21,26,.808,15,30,45,14,5,10,18,20,81
Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
riverdo01,42:00,7,15,.467,0,2,.000,3,3,1.000,2,4,6,4,2,0,4,4,17
harpero01,40:00,7,15,.467,0,2,.000,4,4,1.000,3,1,4,5,4,1,1,2,18
polynol01,34:00,6,10,.600,0,0,,3,3,1.000,2,6,8,2,1,0,2,3,15
mannida01,33:00,3,12,.250,0,0,,2,2,1.000,3,5,8,3,3,1,2,4,8
vaughlo01,23:00,4,6,.667,0,0,,0,0,,1,2,3,0,0,1,0,0,8
smithch01,25:00,4,12,.333,0,0,,7,8,.875,2,4,6,1,0,6,3,2,15
normake01,15:00,3,7,.429,0,0,,0,1,.000,0,1,1,2,1,0,0,1,6
grantga01,15:00,2,5,.400,0,1,.000,0,0,,1,0,1,3,3,0,0,0,4
edwarja01,13:00,0,3,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,4,1
Team Totals,240,36,85,.424,0,5,.000,20,23,.870,14,24,38,20,14,9,12,20,92
