Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
johnske02,44:00,9,13,.692,0,0,,5,7,.714,1,2,3,14,1,0,3,2,23
hornaje01,33:00,10,20,.500,0,0,,5,5,1.000,0,6,6,2,0,0,2,4,25
chambto01,25:00,8,13,.615,0,1,.000,7,7,1.000,0,4,4,2,1,0,2,3,23
langan01,23:00,0,1,.000,0,0,,0,0,,1,4,5,1,0,5,1,5,0
perryti01,8:00,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,1,0,0
majerda01,40:00,10,17,.588,1,1,1.000,2,2,1.000,3,5,8,2,3,1,1,1,23
westma01,21:00,1,2,.500,0,0,,0,0,,1,4,5,0,0,1,1,5,2
rambiku01,19:00,3,4,.750,0,0,,0,0,,1,3,4,2,1,1,2,2,6
cebalce01,16:00,4,4,1.000,0,0,,3,4,.750,1,2,3,1,1,1,1,3,11
burttst01,11:00,4,5,.800,0,0,,0,0,,0,1,1,1,0,0,0,1,8
Team Totals,240,49,80,.613,1,2,.500,22,25,.880,9,33,42,25,7,9,14,26,121
Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
liberma01,38:00,7,15,.467,1,1,1.000,3,4,.750,3,3,6,5,3,0,2,2,18
andergr01,35:00,7,10,.700,0,0,,1,3,.333,4,8,12,1,1,1,3,3,15
mutomdi01,34:00,5,14,.357,0,0,,7,13,.538,6,3,9,0,0,0,1,4,17
willire01,29:00,4,11,.364,1,1,1.000,1,1,1.000,2,3,5,4,1,3,0,4,10
garlawi01,25:00,6,10,.600,0,0,,3,3,1.000,0,2,2,1,0,0,2,0,15
maconma01,23:00,4,10,.400,0,0,,0,2,.000,1,1,2,1,0,0,2,2,8
abdulma02,21:00,5,14,.357,0,0,,1,1,1.000,1,1,2,0,1,0,0,3,11
daviswa03,11:00,2,5,.400,0,0,,1,3,.333,0,1,1,1,0,0,1,1,5
hastisc01,11:00,1,1,1.000,0,0,,0,0,,2,0,2,1,0,0,1,1,2
brookke01,7:00,0,4,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0
wolfjo01,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
lichtto01,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,41,95,.432,2,4,.500,17,30,.567,19,22,41,14,6,4,12,21,101
