Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mullich01,48:00,8,20,.400,0,2,.000,5,6,.833,3,4,7,3,1,0,3,5,21
hardati01,47:00,11,26,.423,3,8,.375,9,10,.900,2,1,3,8,5,0,2,5,34
eliema01,37:00,8,12,.667,1,2,.500,6,6,1.000,4,4,8,2,1,0,2,4,23
owensbi01,30:00,8,13,.615,0,0,,5,7,.714,3,4,7,0,0,1,1,5,21
hillty01,22:00,3,5,.600,0,0,,4,6,.667,1,5,6,0,2,0,0,6,10
marcisa01,45:00,11,21,.524,0,0,,13,14,.929,1,1,2,4,3,3,5,4,35
askewvi01,15:00,1,1,1.000,0,0,,3,4,.750,1,4,5,1,0,1,0,1,5
alexavi01,13:00,0,1,.000,0,0,,1,2,.500,1,1,2,0,1,1,3,1,1
gatlich01,6:00,1,4,.250,0,0,,1,4,.250,3,3,6,0,0,2,1,0,3
buechju01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,265,51,103,.495,4,12,.333,47,59,.797,19,27,46,18,13,8,17,31,153
New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
petrodr01,43:00,9,16,.563,2,3,.667,3,4,.750,1,4,5,2,1,0,3,5,23
colemde01,41:00,15,26,.577,0,0,,5,7,.714,3,9,12,3,1,1,5,4,35
dudlech02,37:00,7,9,.778,0,0,,2,6,.333,6,7,13,0,0,4,3,5,16
blaylmo01,36:00,12,20,.600,0,1,.000,3,5,.600,1,4,5,13,2,1,4,4,27
morrich01,35:00,6,11,.545,0,2,.000,3,4,.750,5,5,10,2,0,4,4,6,15
millste01,27:00,6,10,.600,1,2,.500,2,3,.667,1,2,3,3,0,0,0,3,15
addisra01,18:00,1,4,.250,0,0,,2,2,1.000,2,1,3,2,0,0,0,3,4
georgta01,17:00,2,12,.167,0,1,.000,2,2,1.000,1,1,2,2,1,0,1,5,6
anderke01,10:00,3,5,.600,0,0,,1,2,.500,1,0,1,2,1,0,1,1,7
leedo01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,265,61,113,.540,3,9,.333,23,35,.657,21,33,54,29,6,10,21,36,148
