Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
longgr01,37:00,5,10,.500,2,2,1.000,4,4,1.000,1,7,8,4,3,0,4,2,16
ricegl01,35:00,10,21,.476,6,8,.750,4,5,.800,1,5,6,1,3,0,2,2,30
smithst01,29:00,4,10,.400,1,5,.200,0,0,,0,0,0,7,1,0,0,4,9
kesslal01,26:00,4,9,.444,0,0,,0,0,,1,6,7,0,0,0,1,5,8
shawbr01,19:00,4,7,.571,0,0,,0,0,,3,1,4,5,0,0,1,4,8
edwarke01,30:00,8,13,.615,1,1,1.000,0,0,,1,0,1,2,2,0,0,2,17
oggal01,21:00,3,3,1.000,0,0,,0,0,,4,2,6,0,1,2,0,2,6
colesbi01,19:00,2,10,.200,0,1,.000,4,4,1.000,1,0,1,8,1,0,1,1,8
burtowi01,16:00,4,9,.444,0,1,.000,2,2,1.000,1,3,4,1,0,0,1,2,10
askinke01,8:00,1,1,1.000,0,0,,0,0,,0,0,0,0,3,0,0,2,2
Team Totals,240,45,93,.484,10,18,.556,14,15,.933,13,24,37,28,14,2,10,26,114
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
daughbr01,39:00,9,11,.818,0,0,,5,6,.833,3,11,14,2,1,1,4,2,23
pricema01,32:00,6,8,.750,4,6,.667,5,5,1.000,0,5,5,12,1,2,2,2,21
sandemi01,31:00,4,10,.400,0,2,.000,1,2,.500,1,0,1,2,2,0,2,4,9
nancela01,30:00,8,14,.571,0,0,,4,5,.800,2,7,9,2,0,4,0,3,20
kerrst01,20:00,3,4,.750,0,0,,0,0,,0,1,1,3,0,0,0,0,6
battljo01,26:00,6,13,.462,0,0,,3,3,1.000,0,0,0,5,1,0,1,1,15
williho01,25:00,4,6,.667,0,0,,3,4,.750,3,3,6,2,0,1,1,2,11
brandte01,15:00,2,4,.500,0,0,,2,2,1.000,1,0,1,6,1,0,6,2,6
ferryda01,11:00,2,3,.667,0,1,.000,2,2,1.000,0,3,3,1,0,1,1,3,6
jameshe01,5:00,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,4
phillbo01,3:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2
oliveji01,3:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Team Totals,240,47,77,.610,4,9,.444,25,29,.862,10,31,41,35,6,9,19,20,123
