Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
roberal01,32:00,8,12,.667,1,2,.500,2,2,1.000,3,1,4,3,3,1,3,3,19
edwarbl01,28:00,5,9,.556,1,1,1.000,1,1,1.000,0,3,3,2,1,0,1,2,12
murdoer01,28:00,2,9,.222,0,4,.000,3,4,.750,3,0,3,11,3,0,6,3,7
brickfr01,26:00,5,12,.417,1,1,1.000,4,5,.800,1,0,1,1,0,0,3,6,15
aventan01,20:00,2,8,.250,0,0,,0,0,,0,3,3,0,1,1,2,3,4
lohaubr01,29:00,7,11,.636,4,6,.667,1,4,.250,1,5,6,1,2,2,0,3,19
schayda01,21:00,0,2,.000,0,0,,2,2,1.000,1,3,4,2,0,2,1,3,2
maybele01,20:00,3,5,.600,1,1,1.000,0,0,,0,2,2,3,0,0,1,5,7
roberfr01,20:00,1,4,.250,0,1,.000,0,0,,1,1,2,0,0,0,1,2,2
dayto01,16:00,4,9,.444,2,3,.667,1,2,.500,2,2,4,0,0,1,3,3,11
Team Totals,240,37,81,.457,10,19,.526,14,20,.700,12,20,32,23,10,7,21,33,98
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
robinda01,43:00,10,17,.588,0,0,,9,10,.900,5,4,9,5,5,10,5,3,29
ellisda01,42:00,9,16,.563,1,3,.333,4,7,.571,1,3,4,5,2,0,2,2,23
elliose01,39:00,6,16,.375,0,2,.000,6,7,.857,2,3,5,3,2,0,5,5,18
daniell01,37:00,8,17,.471,3,4,.750,2,2,1.000,4,3,7,4,1,0,3,2,21
smithla01,31:00,0,1,.000,0,0,,0,0,,3,5,8,3,0,0,2,4,0
woodda01,19:00,1,1,1.000,0,0,,5,6,.833,2,1,3,1,2,1,2,4,7
greensi02,15:00,0,3,.000,0,0,,0,0,,0,6,6,1,0,1,0,1,0
othicma01,11:00,2,4,.500,2,4,.500,0,0,,1,0,1,1,0,0,2,0,6
bedfowi01,3:00,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0
Team Totals,240,36,78,.462,6,13,.462,26,32,.813,18,25,43,23,12,12,21,22,104
