New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ewingpa01,42:00,9,22,.409,0,0,,3,4,.750,2,14,16,1,0,6,6,5,21
smithch01,36:00,8,15,.533,0,0,,1,1,1.000,3,6,9,5,1,2,2,4,17
blackro01,31:00,7,12,.583,1,2,.500,0,0,,0,2,2,3,1,0,2,2,15
oaklech01,24:00,3,5,.600,0,0,,0,0,,3,4,7,1,0,0,0,5,6
riverdo01,24:00,1,7,.143,0,2,.000,0,0,,0,0,0,3,1,0,0,3,2
masonan01,27:00,4,5,.800,0,0,,1,3,.333,2,2,4,3,0,1,2,1,9
starkjo01,26:00,4,9,.444,1,1,1.000,2,2,1.000,0,2,2,3,0,0,2,3,11
anthogr01,24:00,2,7,.286,0,1,.000,1,2,.500,1,1,2,7,0,0,4,2,5
willihe01,6:00,2,2,1.000,0,0,,0,0,,0,2,2,0,0,1,0,2,4
Team Totals,240,40,84,.476,2,6,.333,8,12,.667,11,33,44,26,3,10,18,27,90
Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
daughbr01,42:00,7,15,.467,0,0,,6,7,.857,3,9,12,4,0,1,1,3,20
nancela01,36:00,5,14,.357,0,0,,6,6,1.000,4,9,13,0,1,2,1,3,16
ehlocr01,36:00,4,7,.571,1,2,.500,1,2,.500,3,6,9,3,4,0,1,3,10
pricema01,29:00,7,14,.500,0,2,.000,11,11,1.000,0,3,3,3,2,0,1,1,25
sandemi01,16:00,1,6,.167,0,0,,2,2,1.000,0,0,0,1,1,0,0,2,4
williho01,26:00,2,8,.250,0,0,,4,7,.571,0,3,3,2,0,1,3,1,8
brandte01,19:00,1,4,.250,0,0,,2,2,1.000,1,1,2,3,1,1,1,0,4
ferryda01,17:00,2,5,.400,1,1,1.000,6,6,1.000,0,2,2,0,0,0,1,1,11
battljo01,11:00,1,4,.250,0,0,,0,0,,0,0,0,1,0,0,0,0,2
wilkige01,8:00,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,1,0,0
Team Totals,240,30,78,.385,2,5,.400,38,43,.884,11,33,44,17,10,5,10,14,100
