Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
lewisre01,43:00,11,23,.478,0,1,.000,8,8,1.000,2,8,10,4,3,1,0,4,30
gamblke01,34:00,7,10,.700,1,2,.500,1,1,1.000,0,1,1,5,2,0,1,3,16
parisro01,32:00,5,10,.500,0,0,,0,2,.000,5,5,10,2,1,1,3,4,10
brownde01,23:00,2,4,.500,1,1,1.000,3,3,1.000,0,2,2,8,0,0,4,4,8
abdelal01,22:00,3,7,.429,0,0,,0,0,,1,3,4,0,0,0,1,5,6
mchalke01,27:00,4,9,.444,0,0,,2,2,1.000,1,4,5,2,1,1,3,4,10
douglsh01,25:00,5,6,.833,0,0,,1,2,.500,0,3,3,4,0,0,2,2,11
mcdanxa01,16:00,3,7,.429,0,0,,1,2,.500,0,4,4,1,1,0,2,4,7
kleinjo01,15:00,1,5,.200,0,0,,0,0,,2,1,3,0,0,0,0,2,2
foxri01,3:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Team Totals,240,41,82,.500,2,4,.500,16,20,.800,11,32,43,26,8,3,16,32,100
New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ewingpa01,36:00,7,16,.438,0,0,,6,10,.600,4,6,10,0,2,0,2,2,20
blackro01,28:00,5,9,.556,1,2,.500,1,2,.500,1,1,2,7,1,1,1,0,12
smithch01,22:00,6,13,.462,0,0,,4,5,.800,0,2,2,0,1,1,1,4,16
anthogr01,21:00,2,5,.400,0,0,,1,1,1.000,1,0,1,3,0,1,2,2,5
oaklech01,20:00,1,2,.500,0,0,,0,0,,1,6,7,1,0,0,3,1,2
masonan01,41:00,3,9,.333,0,0,,6,8,.750,4,5,9,4,0,0,2,4,12
starkjo01,37:00,10,20,.500,1,4,.250,7,7,1.000,2,3,5,4,2,1,0,5,28
riverdo01,26:00,1,3,.333,0,0,,0,0,,0,4,4,5,0,0,1,2,2
davishu01,7:00,0,0,,0,0,,0,2,.000,0,0,0,1,0,0,0,1,0
willihe01,2:00,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,2,0,0
Team Totals,240,35,79,.443,2,6,.333,25,35,.714,13,29,42,25,6,4,14,21,97
