Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
majerda01,34:00,5,13,.385,0,6,.000,0,0,,2,4,6,3,1,0,3,2,10
dumasri02,32:00,8,16,.500,1,1,1.000,4,5,.800,5,3,8,1,2,0,2,2,21
barklch01,31:00,7,13,.538,2,3,.667,1,2,.500,2,6,8,4,1,1,0,3,17
knighne01,27:00,6,10,.600,0,1,.000,3,4,.750,0,1,1,4,0,0,3,0,15
westma01,20:00,1,4,.250,0,0,,2,2,1.000,3,1,4,1,0,0,1,2,4
aingeda01,27:00,5,7,.714,2,3,.667,0,0,,0,4,4,4,0,0,0,1,12
johnsfr01,19:00,3,10,.300,0,2,.000,0,0,,1,0,1,2,1,0,0,1,6
cebalce01,18:00,4,6,.667,0,0,,0,0,,3,3,6,1,0,0,2,1,8
mustaje01,13:00,2,6,.333,0,0,,1,2,.500,1,0,1,0,1,0,1,4,5
chambto01,12:00,1,7,.143,0,0,,0,0,,3,0,3,1,0,0,0,2,2
kemptti01,7:00,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,2,4
Team Totals,240,43,93,.462,5,16,.313,13,17,.765,20,22,42,21,6,1,13,20,104
Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
thorpot01,35:00,6,7,.857,0,0,,0,0,,7,8,15,6,0,0,2,2,12
olajuha01,34:00,12,19,.632,0,0,,8,9,.889,3,6,9,6,3,9,1,2,32
maxweve01,31:00,7,14,.500,5,9,.556,0,0,,0,3,3,5,1,0,2,2,19
smithke01,29:00,6,14,.429,3,5,.600,0,0,,0,3,3,5,0,0,1,0,15
horryro01,21:00,3,6,.500,0,0,,1,2,.500,2,1,3,3,2,0,2,3,7
herreca01,28:00,8,9,.889,0,0,,5,6,.833,3,2,5,1,1,0,3,1,21
brooksc01,19:00,2,3,.667,0,1,.000,0,0,,0,1,1,3,2,0,0,1,4
bullama01,18:00,4,9,.444,2,6,.333,1,2,.500,0,2,2,2,1,0,0,1,11
garlawi01,17:00,1,5,.200,0,0,,2,2,1.000,1,1,2,3,0,0,0,1,4
winchke01,4:00,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4
rollitr01,4:00,1,3,.333,0,0,,0,0,,1,1,2,1,0,0,0,4,2
Team Totals,240,52,93,.559,10,22,.455,17,21,.810,17,28,45,35,10,9,11,17,131
