Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
aventan01,42:00,7,18,.389,0,0,,2,2,1.000,4,11,15,2,2,1,2,4,16
dayto01,39:00,4,13,.308,0,1,.000,7,10,.700,3,2,5,2,2,0,2,5,15
edwarbl01,34:00,6,15,.400,0,2,.000,3,5,.600,0,4,4,2,0,1,1,4,15
murdoer01,32:00,7,15,.467,1,2,.500,0,0,,5,3,8,5,3,0,5,3,15
lohaubr01,31:00,2,8,.250,0,2,.000,1,2,.500,0,4,4,0,1,0,1,3,5
schayda01,23:00,4,9,.444,0,0,,1,2,.500,2,3,5,2,2,2,1,2,9
roberfr01,17:00,1,2,.500,0,0,,2,2,1.000,1,0,1,1,2,0,0,0,4
maybele01,16:00,1,3,.333,0,1,.000,0,0,,0,0,0,3,0,0,1,2,2
barryjo01,6:00,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,1,0,1,1,4
Team Totals,240,33,84,.393,1,8,.125,18,25,.720,15,27,42,17,13,4,14,24,85
New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
colemde01,42:00,7,17,.412,0,1,.000,11,11,1.000,3,9,12,3,0,2,5,2,25
petrodr01,40:00,11,18,.611,0,1,.000,5,7,.714,0,4,4,3,2,0,6,3,27
robinru01,19:00,4,7,.571,0,1,.000,0,0,,0,0,0,4,1,1,1,5,8
dudlech02,17:00,2,5,.400,0,0,,1,4,.250,4,4,8,0,0,6,0,2,5
brownch01,14:00,1,3,.333,0,0,,1,2,.500,1,3,4,1,0,0,1,0,3
morrich01,26:00,5,9,.556,0,1,.000,2,2,1.000,1,2,3,2,0,0,2,1,12
bowiesa01,26:00,0,4,.000,0,1,.000,4,4,1.000,5,6,11,7,0,1,0,2,4
cheekma01,21:00,3,6,.500,0,0,,2,2,1.000,0,2,2,4,4,1,2,1,8
addisra01,12:00,1,4,.250,0,0,,0,0,,0,3,3,1,0,0,0,1,2
mahorri01,10:00,2,3,.667,0,0,,1,2,.500,2,3,5,0,0,2,1,2,5
georgta01,8:00,0,0,,0,0,,0,0,,0,1,1,2,0,1,0,0,0
kingbe01,5:00,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0
Team Totals,240,36,78,.462,0,6,.000,27,34,.794,16,38,54,27,7,14,19,19,99
