Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
dumarjo01,43:00,4,13,.308,2,4,.500,7,7,1.000,2,2,4,9,2,0,0,0,17
rodmade01,42:00,4,12,.333,0,0,,1,2,.500,8,13,21,1,0,1,1,5,9
thomais01,25:00,6,13,.462,1,1,1.000,0,2,.000,0,2,2,2,2,0,6,5,13
roberal01,23:00,5,9,.556,0,2,.000,1,2,.500,3,1,4,3,1,0,2,4,11
millste01,21:00,5,12,.417,0,0,,0,0,,3,1,4,2,0,0,3,4,10
youngda01,29:00,6,10,.600,1,4,.250,2,3,.667,1,2,3,3,3,0,0,0,15
glassge01,25:00,8,15,.533,0,0,,0,0,,3,2,5,4,0,1,0,2,16
polynol01,21:00,5,9,.556,0,0,,1,2,.500,2,2,4,1,1,1,0,3,11
laimbbi01,11:00,2,4,.500,0,0,,0,0,,0,1,1,2,0,0,0,1,4
Team Totals,240,45,97,.464,4,11,.364,12,18,.667,22,26,48,27,9,3,12,24,106
Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
greenac01,46:00,2,8,.250,1,1,1.000,7,8,.875,6,5,11,2,3,0,3,1,12
divacvl01,42:00,10,17,.588,0,1,.000,8,8,1.000,4,8,12,4,2,3,7,6,28
threase01,41:00,10,17,.588,1,2,.500,6,6,1.000,1,3,4,6,3,0,1,4,27
scottby01,41:00,4,11,.364,1,4,.250,2,3,.667,2,1,3,2,0,0,0,2,11
worthja01,19:00,1,6,.167,0,1,.000,0,0,,0,2,2,1,1,0,1,0,2
peelean01,22:00,3,10,.300,0,1,.000,0,1,.000,1,2,3,2,0,0,0,2,6
campbel01,12:00,1,6,.167,0,0,,0,0,,1,2,3,0,0,0,0,0,2
benjabe01,9:00,3,6,.500,0,0,,2,2,1.000,3,2,5,0,0,1,3,2,8
coopedu01,8:00,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,2,2,5
Team Totals,240,36,84,.429,4,11,.364,25,28,.893,18,25,43,17,9,4,17,19,101
