Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
schrede01,40:00,5,13,.385,0,0,,6,8,.750,1,7,8,4,1,0,1,3,16
millere01,36:00,12,16,.750,5,8,.625,4,5,.800,1,1,2,2,4,0,2,1,33
richapo01,34:00,4,11,.364,0,1,.000,0,0,,1,2,3,12,0,0,3,2,8
davisda01,32:00,6,8,.750,0,0,,1,3,.333,5,6,11,1,1,4,1,4,13
smitsri01,24:00,2,10,.200,0,0,,1,2,.500,2,2,4,2,1,0,1,3,5
thompla01,20:00,0,3,.000,0,0,,0,0,,1,1,2,1,1,0,0,2,0
sealyma01,14:00,3,8,.375,0,1,.000,3,4,.750,2,0,2,2,1,1,2,2,9
mitchsa01,13:00,0,2,.000,0,0,,2,2,1.000,0,3,3,0,1,0,0,1,2
flemive01,12:00,3,5,.600,0,0,,0,0,,0,1,1,1,0,1,2,2,6
willike03,9:00,0,4,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0
mccloge01,4:00,1,5,.200,1,4,.250,4,4,1.000,2,0,2,0,0,0,0,2,7
dreilgr01,2:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2
Team Totals,240,37,86,.430,6,15,.400,21,28,.750,15,23,38,25,10,6,13,22,101
Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
malonka01,32:00,6,12,.500,0,0,,4,6,.667,0,7,7,4,0,0,4,3,16
stockjo01,31:00,9,12,.750,2,3,.667,3,3,1.000,0,2,2,7,1,0,6,1,23
humphja01,25:00,3,8,.375,0,0,,0,1,.000,1,1,2,3,2,0,0,4,6
benoida01,22:00,3,8,.375,0,0,,1,2,.500,2,6,8,0,2,0,1,4,7
eatonma01,20:00,2,3,.667,0,0,,0,0,,3,0,3,0,0,0,1,2,4
malonje01,32:00,8,16,.500,0,0,,2,2,1.000,0,2,2,2,1,0,0,1,18
corbity01,31:00,8,12,.667,0,0,,3,6,.500,7,4,11,4,0,1,0,4,19
brownmi01,23:00,4,6,.667,0,0,,7,9,.778,1,7,8,0,1,1,1,1,15
krystla01,16:00,3,4,.750,0,0,,2,2,1.000,0,1,1,1,0,2,0,2,8
howarst01,3:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2
crottjo01,3:00,0,0,,0,0,,1,2,.500,0,0,0,2,0,0,0,0,1
austiis01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0
Team Totals,240,47,82,.573,2,3,.667,23,33,.697,14,31,45,23,7,4,14,24,119
