Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
kempsh01,37:00,3,11,.273,0,0,,4,6,.667,1,2,3,1,2,1,2,5,10
schrede01,35:00,5,9,.556,0,1,.000,8,8,1.000,2,4,6,3,0,1,0,4,18
gillke01,33:00,7,14,.500,1,2,.500,0,0,,1,4,5,1,1,0,1,2,15
paytoga01,31:00,3,6,.500,1,2,.500,0,0,,0,0,0,5,1,0,1,2,7
cagemi01,14:00,1,2,.500,0,0,,1,2,.500,0,1,1,0,1,1,0,2,3
perkisa01,31:00,6,12,.500,0,2,.000,5,5,1.000,1,4,5,1,0,0,2,3,17
mcmilna01,24:00,3,5,.600,2,4,.500,0,2,.000,2,1,3,1,2,0,0,6,8
piercri01,17:00,2,8,.250,0,0,,5,7,.714,1,0,1,0,1,0,4,3,9
askewvi01,12:00,1,5,.200,0,1,.000,4,4,1.000,0,0,0,1,0,0,0,1,6
johnser02,3:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
kingch01,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,1,0
Team Totals,240,31,73,.425,4,12,.333,27,34,.794,8,17,25,13,9,3,10,30,93
Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ellisla01,43:00,2,7,.286,0,0,,0,2,.000,2,6,8,4,0,1,0,4,4
mutomdi01,41:00,7,10,.700,0,0,,5,9,.556,2,11,13,3,0,6,3,1,19
willire01,39:00,11,16,.688,3,6,.500,6,7,.857,0,6,6,8,2,2,1,4,31
stithbr01,23:00,6,7,.857,0,0,,0,0,,2,2,4,1,0,0,0,4,12
abdulma02,23:00,3,8,.375,1,4,.250,3,3,1.000,0,1,1,1,0,0,2,2,10
rogerro01,24:00,5,8,.625,0,2,.000,5,7,.714,1,0,1,2,0,1,1,2,15
packro01,24:00,3,6,.500,1,2,.500,4,5,.800,0,3,3,7,0,1,7,2,11
delebi01,10:00,2,3,.667,0,0,,0,2,.000,3,0,3,1,0,1,0,1,4
meeda01,8:00,1,1,1.000,0,0,,0,0,,0,1,1,0,2,0,2,2,2
hammoto01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0
randama01,2:00,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,1,0,0
brookke01,1:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2
Team Totals,240,41,68,.603,5,14,.357,23,35,.657,11,32,43,27,4,12,17,24,110
