Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
harpero01,51:00,12,27,.444,3,5,.600,5,7,.714,2,8,10,5,2,0,4,3,32
jacksma01,50:00,6,14,.429,2,4,.500,5,5,1.000,1,2,3,8,2,0,6,0,19
grantga01,46:00,4,11,.364,0,0,,0,0,,0,2,2,5,4,1,2,2,8
vaughlo01,39:00,8,18,.444,0,0,,3,5,.600,1,8,9,2,2,1,2,6,19
roberst01,35:00,3,8,.375,0,0,,1,4,.250,2,6,8,2,0,2,3,3,7
aguirma01,29:00,4,6,.667,0,1,.000,3,4,.750,1,3,4,1,1,0,2,6,11
tolbeto01,15:00,4,6,.667,0,1,.000,1,1,1.000,0,1,1,1,1,1,1,0,9
martibo01,15:00,2,2,1.000,0,0,,0,0,,2,5,7,1,0,1,0,4,4
spencel01,5:00,1,2,.500,0,0,,1,2,.500,1,1,2,1,0,1,0,1,3
deherte01,5:00,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,1,0,2
Team Totals,290,45,96,.469,5,11,.455,19,28,.679,10,36,46,27,12,7,21,25,114
Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
divacvl01,49:00,10,21,.476,1,1,1.000,2,4,.500,13,11,24,6,3,2,7,6,23
peelean01,44:00,10,21,.476,0,2,.000,3,3,1.000,2,3,5,4,1,1,5,5,23
vanexni01,44:00,6,18,.333,1,5,.200,0,0,,5,3,8,9,1,0,0,1,13
chrisdo01,38:00,7,16,.438,2,4,.500,7,12,.583,2,11,13,2,1,0,6,3,23
bowiesa01,6:00,2,2,1.000,0,0,,0,0,,0,1,1,0,0,1,0,1,4
campbel01,38:00,1,10,.100,0,0,,5,6,.833,2,3,5,1,1,5,0,4,7
threase01,26:00,1,6,.167,0,0,,0,0,,2,2,4,4,2,0,2,1,2
worthja01,21:00,4,10,.400,0,1,.000,3,7,.429,2,2,4,2,2,0,1,3,11
harvean01,12:00,3,9,.333,0,0,,0,0,,3,2,5,1,0,1,0,2,6
edwarja01,7:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2
smithto02,5:00,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2
Team Totals,290,46,117,.393,4,14,.286,20,32,.625,31,39,70,29,11,10,21,26,116
