Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
pippesc01,35:00,11,17,.647,1,4,.250,5,6,.833,3,4,7,3,4,0,2,3,28
grantho01,33:00,7,9,.778,0,0,,5,6,.833,1,3,4,1,2,2,1,1,19
myerspe01,27:00,2,5,.400,0,0,,1,2,.500,0,2,2,5,3,0,1,2,5
armstbj01,25:00,9,14,.643,1,2,.500,0,0,,1,2,3,1,2,0,0,0,19
cartwbi01,20:00,0,1,.000,0,0,,2,2,1.000,1,2,3,0,0,0,0,3,2
kukocto01,27:00,3,11,.273,0,1,.000,6,6,1.000,0,2,2,8,2,0,0,1,12
kerrst01,25:00,7,10,.700,0,1,.000,0,0,,0,2,2,7,0,1,1,0,14
wennibi01,16:00,2,3,.667,0,0,,1,2,.500,0,2,2,0,0,0,0,3,5
willisc01,14:00,3,5,.600,0,0,,0,0,,1,2,3,2,0,0,1,2,6
paxsojo01,6:00,2,3,.667,0,0,,0,0,,0,1,1,1,2,0,0,0,4
perduwi01,6:00,1,2,.500,0,0,,0,0,,2,0,2,0,0,0,0,2,2
blounco01,6:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2
Team Totals,240,48,82,.585,2,8,.250,20,24,.833,9,22,31,28,15,3,6,18,118
Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mutomdi01,31:00,4,7,.571,0,0,,3,6,.500,6,3,9,1,0,2,2,1,11
stithbr01,30:00,5,10,.500,0,0,,2,2,1.000,2,2,4,1,1,1,4,1,12
ellisla01,24:00,3,9,.333,0,0,,2,2,1.000,0,2,2,1,0,0,4,3,8
abdulma02,23:00,2,7,.286,1,3,.333,0,0,,0,0,0,4,0,0,0,1,5
willire01,18:00,4,11,.364,0,3,.000,0,0,,0,2,2,2,1,0,0,5,8
rogerro01,30:00,7,9,.778,0,0,,4,6,.667,2,1,3,2,1,1,3,5,18
delebi01,28:00,5,7,.714,0,0,,2,2,1.000,4,4,8,0,1,3,2,2,12
packro01,25:00,3,7,.429,1,1,1.000,2,2,1.000,1,2,3,9,1,0,3,1,9
marblro01,12:00,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
hammoto01,7:00,2,4,.500,0,0,,0,0,,1,2,3,1,0,0,0,0,4
brookke01,6:00,4,4,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,0,10
randama01,6:00,0,2,.000,0,0,,1,2,.500,1,0,1,0,0,0,0,1,1
Team Totals,240,39,80,.488,4,9,.444,16,22,.727,17,20,37,21,5,7,18,20,98
