Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
bakervi01,47:00,8,22,.364,0,0,,9,11,.818,4,7,11,2,3,4,3,4,25
normake01,41:00,6,9,.667,0,1,.000,2,2,1.000,0,1,1,2,2,0,3,2,14
barryjo01,38:00,2,10,.200,0,3,.000,6,7,.857,1,2,3,5,2,0,1,0,10
murdoer01,35:00,4,13,.308,0,2,.000,1,1,1.000,1,0,1,4,1,0,3,0,9
edwarbl01,34:00,7,12,.583,3,4,.750,4,8,.500,1,4,5,3,0,0,2,2,21
maybele01,20:00,1,2,.500,0,1,.000,0,0,,0,3,3,3,1,0,4,0,2
lohaubr01,11:00,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,2,2
stronde01,7:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
gminsmi01,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
courtjo01,3:00,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0
Team Totals,240,29,74,.392,3,13,.231,22,29,.759,8,20,28,19,9,4,16,11,83
New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ewingpa01,35:00,11,16,.688,0,0,,4,4,1.000,2,11,13,1,2,3,1,3,26
harpede01,25:00,6,9,.667,1,1,1.000,0,0,,0,0,0,6,1,0,2,1,13
davishu01,25:00,3,9,.333,0,1,.000,0,0,,0,1,1,4,0,0,1,0,6
oaklech01,23:00,3,6,.500,0,0,,2,2,1.000,4,6,10,2,0,0,4,3,8
bonnean01,18:00,4,6,.667,0,0,,0,0,,2,2,4,0,1,1,3,1,8
masonan01,30:00,8,10,.800,0,0,,1,1,1.000,3,6,9,5,1,0,1,3,17
smithch01,25:00,4,11,.364,0,0,,1,2,.500,4,2,6,0,0,4,2,2,9
blackro01,23:00,4,9,.444,1,1,1.000,3,4,.750,0,1,1,5,1,0,1,4,12
anthogr01,23:00,0,4,.000,0,3,.000,0,0,,0,2,2,8,3,0,1,0,0
willihe01,13:00,3,6,.500,0,0,,0,0,,2,6,8,1,0,0,2,2,6
Team Totals,240,46,86,.535,2,6,.333,11,13,.846,17,37,54,32,9,8,18,19,105
