Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
seikaro01,47:00,8,17,.471,0,0,,5,10,.500,6,15,21,1,3,3,3,2,21
longgr01,42:00,4,10,.400,0,1,.000,1,2,.500,2,3,5,3,1,0,2,5,9
smithst01,40:00,8,17,.471,1,4,.250,0,0,,2,1,3,7,4,1,3,1,17
ricegl01,37:00,5,12,.417,0,3,.000,2,2,1.000,0,4,4,3,2,0,4,0,12
shawbr01,36:00,4,12,.333,4,10,.400,0,0,,3,4,7,9,0,0,3,2,12
minerha01,13:00,2,4,.500,0,0,,3,4,.750,3,1,4,0,0,0,1,1,7
colesbi01,12:00,0,5,.000,0,4,.000,0,0,,0,1,1,0,1,0,3,1,0
burtowi01,6:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,2,2,2
sallejo01,6:00,0,2,.000,0,0,,1,2,.500,1,0,1,0,0,0,0,1,1
askinke01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,32,81,.395,5,22,.227,12,20,.600,17,29,46,23,11,4,21,15,81
Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
divacvl01,43:00,5,11,.455,0,1,.000,3,4,.750,3,12,15,6,2,1,3,2,13
threase01,37:00,11,21,.524,1,1,1.000,0,0,,1,2,3,4,2,0,2,2,23
vanexni01,37:00,1,11,.091,0,3,.000,0,0,,1,4,5,6,0,0,4,2,2
campbel01,31:00,5,10,.500,0,0,,1,2,.500,2,4,6,2,0,1,1,3,11
lynchge01,30:00,4,10,.400,0,0,,1,2,.500,5,5,10,1,2,0,3,3,9
chrisdo01,32:00,7,14,.500,1,3,.333,2,2,1.000,0,4,4,5,4,1,2,3,17
smithto02,11:00,3,5,.600,0,0,,1,1,1.000,0,1,1,0,1,0,0,2,7
rambiku01,11:00,0,2,.000,0,0,,0,0,,3,1,4,0,0,1,1,1,0
worthja01,8:00,1,2,.500,0,0,,0,0,,0,0,0,1,2,0,1,0,2
Team Totals,240,37,86,.430,2,8,.250,8,11,.727,15,33,48,25,13,4,17,18,84
