Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
harpero01,39:00,8,18,.444,1,4,.250,3,3,1.000,2,6,8,5,0,0,3,3,20
jacksma01,39:00,6,13,.462,1,4,.250,2,2,1.000,0,0,0,10,2,1,2,1,15
wilkido01,38:00,11,23,.478,2,7,.286,4,4,1.000,4,1,5,3,0,0,1,3,28
spencel01,36:00,10,14,.714,0,0,,3,5,.600,1,8,9,1,0,0,1,4,23
outlabo01,29:00,2,4,.500,0,0,,1,2,.500,1,3,4,0,0,1,1,3,5
willijo02,18:00,4,9,.444,0,0,,0,0,,3,0,3,2,1,1,0,3,8
grantga01,13:00,2,5,.400,0,1,.000,0,0,,0,0,0,2,1,0,1,0,4
ellisha01,12:00,1,2,.500,0,0,,2,2,1.000,1,0,1,0,2,0,0,0,4
vaughlo01,10:00,1,3,.333,0,0,,0,0,,1,5,6,0,0,0,0,2,2
deherte01,5:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0
woodsra01,1:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,45,93,.484,4,17,.235,15,18,.833,13,23,36,24,6,3,9,19,109
Charlotte Hornets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
boguemu01,37:00,7,13,.538,0,0,,4,4,1.000,1,2,3,12,0,0,1,2,18
mournal01,32:00,10,16,.625,0,0,,6,8,.750,3,4,7,2,0,4,1,1,26
wingada01,32:00,3,7,.429,0,0,,0,0,,0,3,3,9,0,0,3,1,6
johnsla02,29:00,5,8,.625,0,0,,4,4,1.000,2,7,9,4,0,0,1,3,14
hawkihe01,24:00,4,6,.667,1,2,.500,2,2,1.000,0,2,2,1,1,0,1,2,11
curryde01,25:00,5,12,.417,1,4,.250,0,0,,1,6,7,3,1,1,2,3,11
brickfr01,24:00,5,8,.625,1,1,1.000,4,5,.800,0,1,1,3,2,0,1,3,15
burresc01,22:00,5,6,.833,0,0,,0,0,,1,5,6,2,1,0,0,2,10
gattike01,15:00,5,6,.833,0,0,,0,0,,1,0,1,0,0,0,0,1,10
Team Totals,240,49,82,.598,3,7,.429,20,23,.870,9,30,39,36,5,5,10,18,121
