Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
weathcl01,43:00,6,14,.429,0,0,,6,8,.750,2,3,5,4,3,0,4,4,18
barroda01,40:00,6,13,.462,3,5,.600,4,4,1.000,0,1,1,7,1,0,1,0,19
malonje01,38:00,13,17,.765,1,1,1.000,7,8,.875,0,3,3,1,3,0,4,0,34
bradlsh01,29:00,3,5,.600,0,0,,3,3,1.000,0,5,5,0,2,2,2,4,9
willisc01,24:00,1,3,.333,0,0,,2,2,1.000,3,6,9,0,3,1,0,4,4
burtowi01,24:00,5,7,.714,3,3,1.000,6,6,1.000,1,2,3,6,0,1,3,5,19
wrighsh01,15:00,1,3,.333,0,0,,0,2,.000,1,3,4,0,0,1,2,0,2
jacksja01,10:00,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,0,4,0
alstode01,9:00,2,3,.667,0,0,,2,4,.500,1,1,2,0,0,0,2,1,6
tylerbj01,8:00,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,1,1,0
Team Totals,240,37,69,.536,7,9,.778,30,37,.811,8,25,33,20,12,5,19,23,111
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ricegl01,42:00,11,21,.524,2,8,.250,1,1,1.000,0,4,4,2,4,1,3,3,25
willike02,34:00,6,12,.500,0,1,.000,4,5,.800,4,4,8,2,0,1,5,5,16
minerha01,26:00,5,12,.417,2,4,.500,2,3,.667,1,0,1,1,1,0,2,3,14
colesbi01,25:00,2,6,.333,0,1,.000,0,1,.000,1,1,2,4,2,1,5,1,4
sallejo01,17:00,0,1,.000,0,0,,0,0,,1,2,3,0,0,2,2,2,0
owensbi01,31:00,6,11,.545,0,0,,2,4,.500,5,3,8,2,1,0,4,4,14
reevekh01,23:00,2,5,.400,0,1,.000,3,4,.750,0,2,2,7,2,0,1,6,7
eacklle01,22:00,4,7,.571,1,1,1.000,2,4,.500,2,1,3,3,1,0,1,3,11
geigema01,14:00,3,4,.750,0,0,,3,4,.750,1,2,3,0,2,0,0,5,9
gamblke01,6:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2
Team Totals,240,40,80,.500,5,16,.313,17,26,.654,15,20,35,21,13,5,23,33,102
