Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
malonka01,50:00,9,24,.375,0,0,,10,13,.769,1,9,10,3,3,2,3,5,28
stockjo01,47:00,7,14,.500,2,4,.500,2,3,.667,3,4,7,13,2,0,5,6,18
hornaje01,45:00,9,17,.529,1,4,.250,7,9,.778,0,3,3,6,0,1,1,4,26
spencfe01,29:00,4,9,.444,0,0,,2,4,.500,3,3,6,0,0,1,1,5,10
benoida01,20:00,1,3,.333,0,1,.000,2,2,1.000,0,2,2,1,1,0,1,4,4
russebr01,37:00,5,11,.455,0,2,.000,3,4,.750,1,4,5,2,1,1,0,1,13
keefead01,19:00,2,2,1.000,0,0,,0,1,.000,2,2,4,1,0,1,1,2,4
humphja01,13:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,3,0
carran01,12:00,4,6,.667,0,0,,2,2,1.000,0,4,4,0,1,0,1,6,10
crottjo01,11:00,1,5,.200,0,0,,0,0,,0,0,0,1,0,0,0,1,2
chambto01,7:00,1,2,.500,0,0,,0,0,,0,3,3,0,0,0,1,0,2
Team Totals,290,43,94,.457,3,11,.273,28,38,.737,10,35,45,27,8,6,15,37,117
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
johnsav01,51:00,8,12,.667,0,0,,5,9,.556,1,2,3,6,2,1,4,4,21
robinda01,51:00,5,16,.313,0,0,,6,8,.750,3,12,15,3,1,4,4,4,16
delnevi01,48:00,9,17,.529,1,3,.333,6,9,.667,1,4,5,3,0,0,0,3,25
elliose01,44:00,6,12,.500,3,6,.500,9,11,.818,0,4,4,2,2,1,4,1,24
reidjr01,23:00,3,5,.600,0,0,,4,5,.800,1,3,4,1,0,0,2,6,10
cummite01,28:00,0,7,.000,0,0,,1,2,.500,2,4,6,1,2,1,2,6,1
persoch01,25:00,5,10,.500,4,7,.571,1,2,.500,1,4,5,1,0,0,1,2,15
whitnch01,7:00,0,1,.000,0,1,.000,0,0,,1,0,1,3,0,0,0,3,0
malonmo01,7:00,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,2,0
nwosuju01,6:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2
Team Totals,290,37,82,.451,8,17,.471,32,46,.696,10,37,47,20,7,7,17,31,114
