Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
smithke01,39:00,9,14,.643,5,10,.500,3,4,.750,0,7,7,6,1,0,1,3,26
olajuha01,37:00,11,24,.458,0,0,,3,4,.750,2,9,11,6,0,2,4,4,25
herreca01,35:00,3,5,.600,0,0,,1,2,.500,1,3,4,0,1,2,0,4,7
drexlcl01,28:00,2,10,.200,1,4,.250,0,0,,0,1,1,2,2,0,1,1,5
maxweve01,26:00,6,12,.500,3,9,.333,2,3,.667,0,0,0,6,1,0,1,4,17
horryro01,21:00,2,6,.333,2,5,.400,0,0,,0,2,2,1,0,1,1,2,6
eliema01,20:00,1,1,1.000,1,1,1.000,1,2,.500,0,2,2,2,0,0,1,1,4
chilcpe01,17:00,2,2,1.000,0,0,,0,0,,1,1,2,1,0,2,0,4,4
cassesa01,11:00,1,3,.333,1,3,.333,2,2,1.000,0,0,0,2,0,0,2,1,5
brownch01,6:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0
Team Totals,240,37,77,.481,13,32,.406,12,17,.706,4,26,30,26,5,7,11,26,99
Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
barklch01,42:00,11,20,.550,1,3,.333,11,12,.917,11,15,26,1,0,0,3,1,34
johnske02,38:00,8,21,.381,0,1,.000,11,11,1.000,2,0,2,10,1,0,2,2,27
majerda01,31:00,1,3,.333,1,1,1.000,0,0,,0,4,4,2,0,0,2,2,3
perryel01,26:00,3,7,.429,1,1,1.000,0,0,,1,3,4,7,1,0,1,3,7
schayda01,24:00,0,5,.000,0,0,,4,6,.667,2,4,6,2,1,2,1,4,4
greenac01,27:00,2,5,.400,0,2,.000,3,6,.500,0,3,3,2,0,0,0,1,7
tisdawa01,27:00,3,8,.375,0,0,,0,0,,0,1,1,1,1,0,2,4,6
dumasri02,15:00,3,7,.429,0,0,,0,0,,0,1,1,1,1,0,0,2,6
persowe01,6:00,1,4,.250,1,2,.500,0,0,,1,1,2,0,0,0,0,0,3
aingeda01,3:00,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0
kleinjo01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,32,82,.390,4,11,.364,29,35,.829,18,32,50,26,5,2,11,20,97
