Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
robingl01,45:00,13,24,.542,0,2,.000,3,3,1.000,2,6,8,2,3,0,7,3,29
bakervi01,42:00,8,14,.571,0,0,,1,3,.333,1,8,9,5,0,1,0,1,17
newmajo01,39:00,2,5,.400,0,1,.000,5,6,.833,4,7,11,2,1,0,5,4,9
conloma01,38:00,6,10,.600,0,0,,1,2,.500,4,2,6,2,0,0,1,1,13
maybele01,27:00,5,8,.625,2,4,.500,0,0,,1,0,1,0,0,0,2,2,12
murdoer01,21:00,2,10,.200,1,2,.500,0,0,,1,0,1,4,2,0,1,2,5
dayto01,16:00,3,5,.600,2,4,.500,0,0,,1,2,3,0,0,0,1,1,8
pincked01,12:00,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,2,0,0
Team Totals,240,39,77,.506,5,13,.385,10,14,.714,15,27,42,15,6,1,19,14,93
Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
chilcpe01,39:00,3,9,.333,1,4,.250,0,0,,2,4,6,3,0,1,0,0,7
drexlcl01,36:00,9,16,.563,3,8,.375,2,6,.333,1,3,4,3,2,1,2,4,23
herreca01,34:00,3,6,.500,0,0,,4,4,1.000,3,6,9,0,1,0,3,3,10
horryro01,24:00,4,9,.444,0,1,.000,0,0,,1,1,2,2,1,1,2,1,8
smithke01,19:00,1,5,.200,1,5,.200,0,0,,0,0,0,6,0,0,0,0,3
cassesa01,29:00,4,8,.500,0,1,.000,0,0,,0,3,3,5,3,0,3,3,8
eliema01,24:00,4,8,.500,2,4,.500,1,1,1.000,0,2,2,2,0,0,2,4,11
brownch01,22:00,5,5,1.000,0,0,,2,2,1.000,1,3,4,0,2,0,3,4,12
murratr01,13:00,2,5,.400,1,2,.500,0,0,,0,0,0,2,1,0,1,0,5
Team Totals,240,35,71,.493,8,25,.320,9,13,.692,8,22,30,23,10,3,16,19,87
