Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
richmmi01,45:00,7,23,.304,3,8,.375,5,6,.833,0,3,3,0,1,0,4,5,22
polynol01,43:00,4,9,.444,0,0,,1,4,.250,2,11,13,0,1,0,0,3,9
williwa02,39:00,7,17,.412,2,5,.400,2,2,1.000,2,2,4,1,1,0,3,4,18
webbsp01,39:00,2,12,.167,0,4,.000,6,6,1.000,0,3,3,7,2,0,2,4,10
grantbr01,25:00,4,6,.667,0,0,,4,5,.800,3,1,4,2,0,1,1,5,12
smithmi02,23:00,1,9,.111,0,0,,3,4,.750,5,4,9,1,1,0,2,2,5
brownra02,20:00,4,5,.800,0,0,,1,3,.333,1,2,3,2,1,0,1,3,9
causwdu01,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,2,0
leedo01,1:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3
turnehe02,1:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0
Team Totals,240,30,82,.366,6,18,.333,22,30,.733,14,27,41,13,7,2,13,29,88
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
robinda01,44:00,13,24,.542,0,0,,6,9,.667,6,10,16,6,2,5,5,1,32
elliose01,42:00,5,16,.313,2,5,.400,5,6,.833,2,4,6,2,0,3,6,4,17
johnsav01,38:00,5,6,.833,0,0,,6,10,.600,1,3,4,3,1,0,3,2,16
delnevi01,28:00,5,10,.500,0,1,.000,2,2,1.000,1,1,2,2,1,0,0,3,12
cummite01,14:00,0,3,.000,0,0,,0,0,,0,7,7,3,0,1,0,4,0
rodmade01,22:00,2,4,.500,0,0,,2,2,1.000,5,10,15,2,1,0,1,3,6
riverdo01,22:00,2,5,.400,1,3,.333,0,0,,0,0,0,4,1,0,0,4,5
reidjr01,14:00,2,4,.500,0,0,,2,2,1.000,1,2,3,0,0,0,0,2,6
persoch01,13:00,1,4,.250,0,3,.000,0,0,,1,0,1,0,0,0,0,3,2
nwosuju01,1:00,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2
haleyja01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
anderwi01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
Team Totals,240,35,76,.461,3,12,.250,25,33,.758,17,37,54,22,6,9,15,27,98
