Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mashbja01,41:00,11,23,.478,1,4,.250,3,4,.750,0,3,3,0,0,1,5,3,26
kiddja01,41:00,4,16,.250,1,6,.167,3,6,.500,2,6,8,10,1,0,1,1,12
jonespo01,36:00,4,6,.667,0,0,,0,0,,4,4,8,1,0,0,2,4,8
jacksji01,35:00,5,13,.385,1,3,.333,3,5,.600,2,5,7,2,0,1,4,3,14
willilo01,22:00,0,1,.000,0,0,,0,2,.000,1,4,5,0,0,2,2,5,0
meyerlo01,23:00,3,5,.600,0,0,,1,2,.500,1,7,8,0,0,0,0,4,7
mccloge01,15:00,3,7,.429,0,3,.000,6,6,1.000,2,0,2,1,0,0,1,1,12
harrilu01,13:00,3,5,.600,0,0,,1,2,.500,0,1,1,0,0,0,0,1,7
brooksc01,8:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,1,0,3
parksch02,6:00,0,2,.000,0,0,,1,2,.500,1,2,3,1,0,0,0,0,1
Team Totals,240,34,79,.430,4,17,.235,18,29,.621,13,32,45,16,2,4,16,22,90
Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
vaughlo01,40:00,7,21,.333,0,0,,2,4,.500,3,8,11,1,0,0,2,3,16
rogerro01,39:00,8,14,.571,1,2,.500,2,3,.667,1,7,8,4,2,0,2,3,19
delebi01,37:00,12,16,.750,0,0,,4,5,.800,2,6,8,2,1,1,2,3,28
sealyma01,32:00,4,10,.400,0,2,.000,2,3,.667,3,1,4,1,2,0,1,3,10
barrybr01,30:00,5,6,.833,1,2,.500,1,1,1.000,0,3,3,2,2,2,0,3,12
outlabo01,22:00,5,8,.625,0,0,,0,2,.000,1,3,4,1,0,1,2,5,10
deherte01,18:00,0,6,.000,0,2,.000,2,2,1.000,2,1,3,3,0,0,3,1,2
piatker01,16:00,1,5,.200,0,2,.000,0,0,,2,0,2,0,0,1,1,0,2
towerke01,4:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
vandelo01,2:00,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2
Team Totals,240,43,89,.483,2,11,.182,13,20,.650,14,29,43,14,7,5,13,21,101
