Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
stoudda01,40:00,4,11,.364,0,3,.000,3,4,.750,0,3,3,9,1,0,2,1,11
pincked01,35:00,5,7,.714,0,0,,2,2,1.000,5,8,13,2,0,0,0,0,12
milleol01,33:00,5,14,.357,0,0,,0,0,,2,2,4,4,1,2,4,4,10
murratr01,31:00,7,11,.636,3,5,.600,5,6,.833,0,3,3,2,3,1,2,5,22
roberal01,31:00,5,8,.625,0,1,.000,3,3,1.000,2,5,7,3,2,0,6,3,13
anderwi01,23:00,6,11,.545,2,3,.667,2,2,1.000,1,0,1,4,0,0,2,5,16
tabakza01,15:00,2,4,.500,0,0,,0,0,,0,2,2,0,0,0,0,3,4
rogerca01,14:00,1,2,.500,0,0,,1,1,1.000,1,1,2,0,0,0,0,1,3
sallejo01,13:00,2,3,.667,0,0,,0,0,,0,0,0,1,0,0,4,2,4
kingji02,5:00,1,1,1.000,0,0,,5,5,1.000,0,1,1,0,1,0,1,0,7
Team Totals,240,38,72,.528,5,12,.417,21,23,.913,11,25,36,25,8,3,21,24,102
Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
longgr01,38:00,5,8,.625,0,0,,7,8,.875,7,6,13,6,7,0,2,2,17
langan01,30:00,1,8,.125,0,0,,2,2,1.000,0,4,4,1,1,1,1,4,4
normake01,28:00,8,12,.667,4,5,.800,1,4,.250,2,3,5,1,0,0,1,3,21
blaylmo01,28:00,4,13,.308,4,9,.444,2,2,1.000,1,3,4,6,1,0,0,2,14
smithst01,26:00,6,11,.545,2,5,.400,1,1,1.000,1,0,1,1,1,0,2,2,15
augmost01,26:00,6,9,.667,0,0,,6,7,.857,2,1,3,1,0,1,2,4,18
hendeal01,24:00,3,11,.273,0,1,.000,5,6,.833,6,4,10,2,2,0,0,2,11
webbsp01,20:00,2,6,.333,0,2,.000,2,2,1.000,0,1,1,3,1,0,3,1,6
ehlocr01,16:00,4,8,.500,0,2,.000,0,0,,1,1,2,1,1,0,2,3,8
mundtto01,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
Team Totals,240,39,86,.453,10,24,.417,26,32,.813,20,23,43,22,14,2,13,24,114
