Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mashbja01,33:00,5,17,.294,1,6,.167,7,10,.700,2,2,4,2,0,0,4,1,18
jonespo01,26:00,4,10,.400,0,0,,0,0,,3,3,6,0,0,0,2,4,8
kiddja01,24:00,2,10,.200,0,4,.000,1,2,.500,2,5,7,5,6,0,0,1,5
jacksji01,23:00,3,11,.273,0,1,.000,0,0,,3,2,5,3,0,0,1,0,6
willilo01,17:00,0,1,.000,0,0,,0,0,,2,2,4,1,0,2,2,0,0
dumasto01,27:00,9,15,.600,3,5,.600,1,2,.500,2,2,4,7,1,0,2,3,22
harrilu01,26:00,3,8,.375,1,5,.200,0,0,,1,1,2,2,0,0,1,3,7
daviste01,24:00,2,9,.222,0,0,,2,4,.500,5,5,10,1,1,0,0,1,6
parksch02,17:00,2,4,.500,0,0,,2,2,1.000,1,5,6,2,1,2,1,0,6
meyerlo01,15:00,2,2,1.000,0,0,,4,7,.571,0,3,3,0,0,1,0,2,8
brooksc01,8:00,4,5,.800,1,1,1.000,1,2,.500,0,0,0,1,1,0,1,1,10
Team Totals,240,36,92,.391,6,22,.273,18,29,.621,21,30,51,24,10,5,14,16,96
Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
hardaan01,36:00,8,16,.500,0,2,.000,8,8,1.000,3,5,8,11,3,1,3,1,24
scottde01,29:00,10,16,.625,5,7,.714,4,4,1.000,1,2,3,2,0,1,0,2,29
grantho01,29:00,6,14,.429,0,0,,0,0,,4,9,13,3,0,1,1,2,12
koncajo01,28:00,2,4,.500,0,0,,1,2,.500,2,8,10,0,1,1,1,3,5
anderni01,27:00,5,8,.625,4,4,1.000,0,0,,0,4,4,1,0,0,4,1,14
wolfjo01,24:00,3,7,.429,0,0,,0,0,,0,2,2,3,1,0,0,6,6
shawbr01,22:00,1,7,.143,0,0,,0,0,,0,1,1,5,0,0,1,0,2
royaldo01,19:00,1,4,.250,0,0,,0,0,,1,1,2,1,1,1,0,0,2
vaughda02,13:00,2,4,.500,0,0,,0,0,,0,3,3,1,1,0,1,4,4
bowiean01,9:00,2,5,.400,1,1,1.000,0,0,,0,1,1,1,0,0,0,1,5
armstda01,2:00,2,3,.667,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,0,7
hammige01,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,0,0
Team Totals,240,42,88,.477,11,15,.733,15,16,.938,11,37,48,28,7,5,13,20,110
