Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
radjadi01,40:00,8,17,.471,0,0,,2,6,.333,3,11,14,1,2,3,3,4,18
barroda01,36:00,6,14,.429,2,7,.286,4,4,1.000,0,3,3,3,0,0,3,2,18
brownde01,34:00,6,13,.462,2,4,.500,6,6,1.000,0,4,4,10,4,1,1,0,20
montrer01,28:00,4,9,.444,0,0,,0,2,.000,3,7,10,1,1,0,3,4,8
foxri01,25:00,2,8,.250,0,0,,5,8,.625,4,2,6,2,1,0,2,4,9
willier01,17:00,5,7,.714,0,0,,5,6,.833,2,1,3,1,1,0,0,1,15
dayto01,15:00,3,5,.600,1,2,.500,4,4,1.000,0,0,0,1,0,1,1,2,11
ellispe01,14:00,1,3,.333,0,0,,0,0,,2,2,4,0,0,3,1,2,2
minorgr01,13:00,2,4,.500,0,0,,2,4,.500,0,1,1,3,0,0,1,1,6
wesleda01,12:00,2,4,.500,2,2,1.000,1,1,1.000,0,0,0,2,1,0,1,1,7
listeal01,6:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,2
Team Totals,240,40,85,.471,7,15,.467,29,41,.707,14,32,46,24,10,8,17,22,116
Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
stoudda01,40:00,7,18,.389,1,2,.500,3,3,1.000,0,4,4,9,1,1,4,3,18
milleol01,34:00,6,16,.375,0,0,,2,2,1.000,0,6,6,3,1,4,1,3,14
pincked01,30:00,5,11,.455,0,0,,5,5,1.000,3,5,8,0,0,0,1,3,15
anderwi01,27:00,3,6,.500,0,0,,0,0,,1,1,2,2,1,1,5,2,6
roberal01,26:00,2,6,.333,0,2,.000,3,4,.750,1,3,4,2,2,1,2,5,7
tabakza01,21:00,7,8,.875,0,0,,0,0,,2,2,4,1,0,0,1,4,14
rogerca01,19:00,5,6,.833,0,0,,3,4,.750,3,4,7,0,1,2,2,3,13
murratr01,13:00,0,4,.000,0,1,.000,0,0,,0,2,2,1,0,1,0,3,0
earlac01,12:00,1,4,.250,0,0,,2,3,.667,1,1,2,0,1,2,3,4,4
kingji02,10:00,2,5,.400,1,3,.333,0,0,,2,0,2,2,1,1,0,0,5
esposvi01,8:00,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,2,1,0
Team Totals,240,38,85,.447,2,9,.222,18,21,.857,13,28,41,22,8,13,21,31,96
