Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
houstal01,43:00,6,19,.316,0,3,.000,2,2,1.000,2,1,3,1,2,0,2,3,14
hillgr01,42:00,7,15,.467,0,0,,7,9,.778,2,11,13,7,3,0,4,4,21
thorpot01,39:00,4,11,.364,0,0,,1,2,.500,1,9,10,1,1,1,4,4,9
hunteli01,23:00,2,5,.400,2,4,.500,0,0,,0,1,1,4,1,0,0,4,6
reiddo01,10:00,0,1,.000,0,0,,0,0,,0,2,2,0,1,1,1,5,0
dumarjo01,34:00,4,9,.444,3,5,.600,4,5,.800,1,2,3,3,1,0,0,3,15
millste01,17:00,4,10,.400,1,2,.500,4,5,.800,1,3,4,1,1,0,4,2,13
ratlith01,17:00,0,4,.000,0,0,,4,6,.667,4,3,7,0,0,1,1,1,4
westma01,13:00,0,0,,0,0,,3,4,.750,0,1,1,0,0,2,0,6,3
maconma01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,27,74,.365,6,14,.429,25,33,.758,11,33,44,17,10,5,16,32,85
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
johnsav01,42:00,7,16,.438,0,0,,5,6,.833,1,0,1,7,0,0,3,3,19
perduwi01,42:00,3,7,.429,0,0,,0,2,.000,6,11,17,0,0,1,4,4,6
elliose01,39:00,4,15,.267,0,3,.000,9,13,.692,2,5,7,2,1,1,1,2,17
robinda01,30:00,4,9,.444,0,0,,9,14,.643,4,10,14,2,1,2,4,5,17
delnevi01,25:00,3,7,.429,0,2,.000,1,1,1.000,0,0,0,4,0,0,1,5,7
lohaubr01,23:00,3,3,1.000,3,3,1.000,0,0,,0,2,2,1,0,1,2,2,9
persoch01,21:00,3,9,.333,1,5,.200,0,0,,0,6,6,2,0,1,0,3,7
riverdo01,13:00,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2
alexaco01,5:00,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0
Team Totals,240,28,71,.394,4,15,.267,24,36,.667,13,35,48,19,2,6,15,26,84
