San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
elliose01,44:00,3,11,.273,0,2,.000,3,5,.600,1,4,5,3,1,0,4,1,9
robinda01,43:00,15,23,.652,0,0,,6,10,.600,5,8,13,4,1,5,2,3,36
johnsav01,43:00,9,15,.600,1,1,1.000,2,4,.500,0,1,1,9,3,0,2,3,21
delnevi01,32:00,4,9,.444,2,3,.667,1,1,1.000,0,1,1,4,1,0,3,3,11
smithch01,22:00,0,6,.000,0,0,,0,0,,1,3,4,0,0,2,1,2,0
persoch01,30:00,8,13,.615,7,11,.636,2,2,1.000,1,4,5,2,0,0,1,6,25
riverdo01,21:00,2,2,1.000,0,0,,0,0,,0,4,4,2,1,0,2,4,4
perduwi01,5:00,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,0,0
Team Totals,240,41,80,.513,10,17,.588,14,22,.636,8,28,36,24,7,7,15,22,106
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
paytoga01,43:00,12,20,.600,3,5,.600,3,3,1.000,4,7,11,6,2,0,2,2,30
schrede01,41:00,9,16,.563,3,5,.600,3,4,.750,1,5,6,5,2,0,2,2,24
hawkihe01,39:00,4,10,.400,0,4,.000,2,5,.400,2,2,4,2,1,0,3,2,10
kempsh01,29:00,4,12,.333,0,0,,8,10,.800,2,7,9,3,0,0,2,1,16
johnser02,17:00,2,4,.500,0,0,,1,2,.500,1,4,5,0,0,2,1,4,5
perkisa01,29:00,5,15,.333,2,7,.286,0,0,,3,3,6,2,1,0,1,1,12
askewvi01,26:00,3,5,.600,0,1,.000,0,0,,2,2,4,3,0,0,1,2,6
brickfr01,11:00,1,2,.500,0,1,.000,0,0,,0,2,2,2,0,0,0,5,2
wingada01,5:00,0,3,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0
Team Totals,240,40,87,.460,8,24,.333,17,24,.708,15,32,47,23,7,2,12,19,105
