Washington Bullets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
howarju01,42:00,8,22,.364,0,0,,4,4,1.000,0,3,3,6,0,1,2,3,20
cheanca01,40:00,6,11,.545,1,1,1.000,1,2,.500,1,2,3,2,0,0,2,1,14
eacklle01,35:00,6,12,.500,2,3,.667,4,4,1.000,0,0,0,1,0,0,1,2,18
muresgh01,33:00,5,9,.556,0,0,,4,6,.667,0,10,10,0,0,5,1,6,14
pricebr01,24:00,3,6,.500,0,3,.000,0,0,,0,2,2,3,1,0,2,4,6
whitnch01,24:00,2,5,.400,1,2,.500,6,6,1.000,1,4,5,5,1,0,2,4,11
legleti01,17:00,2,5,.400,0,1,.000,4,6,.667,1,1,2,1,0,0,0,2,8
mcilvji01,15:00,0,1,.000,0,0,,0,2,.000,1,2,3,0,0,2,0,3,0
mccanbo01,8:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,2,2
thornbo01,2:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Team Totals,240,33,74,.446,4,10,.400,23,30,.767,4,26,30,18,2,9,10,27,93
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mournal01,39:00,17,24,.708,0,0,,16,17,.941,6,6,12,1,0,2,4,3,50
hardati01,39:00,6,15,.400,2,6,.333,2,4,.500,0,0,0,12,1,0,2,2,16
chapmre01,37:00,3,12,.250,1,4,.250,0,0,,0,2,2,2,0,0,0,2,7
thomaku01,23:00,3,8,.375,0,0,,1,2,.500,2,7,9,1,0,1,0,2,7
williwa02,16:00,4,5,.800,1,1,1.000,0,0,,1,4,5,3,2,0,1,4,9
askinke01,29:00,2,4,.500,1,2,.500,0,0,,2,3,5,2,0,0,0,3,5
gatlich01,25:00,4,9,.444,0,0,,5,8,.625,1,7,8,0,1,0,0,4,13
smithto02,13:00,2,2,1.000,1,1,1.000,0,0,,1,0,1,2,0,0,0,2,5
schayda01,9:00,0,3,.000,0,0,,0,0,,0,2,2,1,0,3,1,4,0
corbity01,8:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
lenarvo01,2:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,41,83,.494,6,15,.400,24,31,.774,13,32,45,24,4,6,8,26,112
