Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
kukocto01,33:00,5,11,.455,2,4,.500,2,4,.500,3,3,6,6,0,0,2,0,14
rodmade01,30:00,3,3,1.000,0,0,,0,1,.000,4,8,12,1,2,2,1,3,6
pippesc01,28:00,5,15,.333,2,6,.333,3,4,.750,3,2,5,3,0,0,2,0,15
jordami01,26:00,8,18,.444,0,1,.000,1,4,.250,3,4,7,3,3,0,3,0,17
harpero01,26:00,5,9,.556,0,1,.000,4,6,.667,3,0,3,4,0,1,2,2,14
kerrst01,24:00,4,8,.500,1,4,.250,3,3,1.000,0,1,1,2,2,0,1,0,12
wennibi01,16:00,5,7,.714,0,0,,1,1,1.000,2,1,3,1,1,0,1,4,11
caffeja01,16:00,0,3,.000,0,0,,3,6,.500,4,3,7,0,0,0,2,2,3
buechju01,14:00,1,3,.333,0,1,.000,4,4,1.000,2,1,3,1,0,0,0,1,6
brownra02,11:00,4,6,.667,1,1,1.000,0,0,,0,2,2,2,0,0,0,2,9
edwarja01,11:00,2,5,.400,0,0,,2,2,1.000,2,1,3,0,0,0,2,4,6
simpkdi01,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,1,0,0
Team Totals,240,42,89,.472,6,18,.333,23,35,.657,26,26,52,23,8,4,17,18,113
New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
childch01,45:00,10,18,.556,2,6,.333,1,1,1.000,2,2,4,8,2,0,2,4,23
brownpj01,31:00,4,9,.444,0,0,,1,3,.333,2,1,3,1,0,0,1,3,9
gilliar01,28:00,5,11,.455,0,0,,1,2,.500,4,3,7,0,2,1,4,4,11
reevekh01,23:00,6,8,.750,2,3,.667,0,0,,0,1,1,2,3,0,3,6,14
willija01,21:00,4,5,.800,0,0,,0,0,,2,5,7,0,0,0,2,2,8
flemive01,34:00,7,12,.583,0,0,,1,2,.500,0,1,1,2,1,0,3,0,15
bradlsh01,26:00,4,9,.444,0,0,,1,4,.250,1,1,2,1,0,2,2,5,9
mahorri01,16:00,3,3,1.000,0,0,,5,6,.833,2,3,5,0,0,0,1,5,11
grahagr01,10:00,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0
werdaro01,6:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Team Totals,240,43,77,.558,4,10,.400,10,18,.556,13,18,31,16,8,3,18,30,100
