Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
blaylmo01,43:00,5,14,.357,0,6,.000,0,0,,0,10,10,9,1,0,4,2,10
smithst01,42:00,7,12,.583,5,6,.833,9,10,.900,2,5,7,3,1,0,4,3,28
mutomdi01,40:00,5,6,.833,0,0,,6,6,1.000,4,8,12,0,0,1,2,2,16
corbity01,36:00,5,10,.500,1,3,.333,1,1,1.000,0,0,0,3,1,0,1,3,12
laettch01,34:00,5,19,.263,0,3,.000,1,2,.500,3,9,12,2,0,0,1,2,11
hendeal01,16:00,3,3,1.000,0,0,,3,6,.500,1,4,5,0,0,1,1,3,9
recasel01,11:00,1,3,.333,1,3,.333,0,0,,1,0,1,1,1,0,0,3,3
barryjo01,7:00,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,0,0,0,0
hancoda01,4:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2
jameshe01,3:00,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3
laudepr01,3:00,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,3,1,0
newbiiv01,1:00,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0
Team Totals,240,33,75,.440,8,26,.308,20,25,.800,12,38,50,19,4,2,16,21,94
Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
hunteli01,39:00,3,13,.231,1,5,.200,3,4,.750,1,1,2,1,0,0,0,0,10
dumarjo01,38:00,3,13,.231,2,5,.400,6,6,1.000,0,1,1,3,0,0,0,1,14
millste01,37:00,5,10,.500,1,3,.333,0,0,,0,10,10,2,1,0,3,2,11
hillgr01,35:00,11,22,.500,0,0,,6,8,.750,1,2,3,3,0,0,1,3,28
thorpot01,31:00,1,3,.333,0,0,,0,0,,2,4,6,0,0,0,0,5,2
mckieaa01,24:00,1,4,.250,0,1,.000,0,0,,0,1,1,3,2,0,2,2,2
longgr01,13:00,0,2,.000,0,0,,0,2,.000,2,2,4,0,0,0,0,4,0
ratlith01,9:00,2,3,.667,0,0,,1,2,.500,1,2,3,1,0,4,3,1,5
currymi01,6:00,1,2,.500,0,0,,0,1,.000,0,1,1,0,0,0,0,1,2
willije01,5:00,2,2,1.000,0,0,,0,0,,0,3,3,0,1,0,1,0,4
reiddo01,3:00,0,0,,0,0,,4,4,1.000,0,1,1,0,0,0,0,0,4
Team Totals,240,29,74,.392,4,14,.286,20,27,.741,7,28,35,13,4,4,10,19,82
