Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
polynol01,41:00,9,13,.692,0,0,,3,8,.375,1,7,8,2,0,0,1,5,21
richmmi01,40:00,10,20,.500,1,5,.200,4,5,.800,1,1,2,5,1,0,3,1,25
abdulma02,37:00,6,13,.462,2,5,.400,3,3,1.000,0,4,4,5,1,0,2,2,17
owensbi01,34:00,2,8,.250,0,1,.000,2,2,1.000,0,5,5,4,0,0,4,1,6
willico02,26:00,5,8,.625,0,0,,2,4,.500,1,3,4,1,1,0,0,3,12
smithmi02,19:00,1,1,1.000,0,0,,0,0,,3,3,6,4,0,0,1,3,2
edneyty01,18:00,4,4,1.000,1,1,1.000,1,2,.500,0,1,1,2,0,0,1,0,10
simmoli01,14:00,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,1,1,2
causwdu01,9:00,2,3,.667,0,0,,2,3,.667,0,1,1,0,0,1,0,3,6
hurlebo01,1:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
daniell01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
Team Totals,240,40,73,.548,4,12,.333,17,27,.630,6,26,32,25,3,1,13,20,101
New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
oaklech01,40:00,4,10,.400,0,1,.000,5,5,1.000,2,8,10,7,0,2,2,3,13
ewingpa01,32:00,12,20,.600,0,0,,5,7,.714,2,12,14,2,2,0,0,3,29
johnsla02,30:00,5,7,.714,0,1,.000,2,5,.400,0,0,0,0,0,0,1,3,12
houstal01,29:00,4,10,.400,1,4,.250,0,0,,0,2,2,5,0,0,0,2,9
wardch01,21:00,2,6,.333,0,1,.000,0,1,.000,1,0,1,5,2,1,0,2,4
childch01,27:00,3,5,.600,2,2,1.000,2,2,1.000,0,1,1,9,0,0,3,3,10
willibu01,24:00,7,8,.875,0,0,,2,3,.667,6,2,8,2,0,1,1,0,16
starkjo01,19:00,5,13,.385,3,5,.600,0,0,,1,0,1,2,0,0,2,2,13
wallajo01,18:00,4,7,.571,0,0,,1,1,1.000,1,1,2,0,4,1,0,3,9
Team Totals,240,46,86,.535,6,14,.429,17,24,.708,13,26,39,32,8,5,9,21,115
