Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
harpede01,38:00,2,7,.286,0,2,.000,0,3,.000,0,2,2,3,3,0,2,2,4
mccloge01,35:00,5,12,.417,1,3,.333,4,4,1.000,1,3,4,3,1,0,0,2,15
jacksji01,32:00,6,12,.500,1,3,.333,1,1,1.000,0,5,5,1,0,2,1,2,14
walkesa01,19:00,0,5,.000,0,0,,4,6,.667,1,3,4,1,0,2,3,3,4
montrer01,17:00,2,4,.500,0,0,,0,0,,2,2,4,2,0,0,1,3,4
mashbja01,29:00,2,10,.200,0,1,.000,2,2,1.000,0,1,1,0,0,0,1,3,6
gatlich01,26:00,4,13,.308,0,0,,8,9,.889,3,2,5,0,0,1,2,2,16
milleol01,15:00,1,4,.250,0,0,,0,0,,1,1,2,1,0,0,0,1,2
dumasto01,14:00,3,7,.429,0,2,.000,0,0,,0,1,1,4,0,0,1,3,6
meyerlo01,12:00,2,5,.400,1,2,.500,0,0,,0,0,0,1,1,0,1,1,5
dreilgr01,3:00,0,1,.000,0,0,,1,2,.500,1,0,1,0,0,0,0,0,1
Team Totals,240,27,80,.338,3,13,.231,20,27,.741,9,20,29,16,5,5,12,22,77
Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
robincl02,32:00,7,11,.636,3,4,.750,4,4,1.000,1,4,5,3,0,0,1,1,21
rideris01,31:00,7,15,.467,2,7,.286,2,3,.667,0,0,0,2,1,0,1,1,18
anderke01,25:00,3,8,.375,0,2,.000,1,2,.500,0,3,3,10,2,0,2,1,7
sabonar01,20:00,3,7,.429,0,2,.000,3,3,1.000,0,6,6,2,0,3,2,4,9
wallara01,16:00,5,6,.833,0,0,,2,2,1.000,0,6,6,0,0,1,0,4,12
trentga01,26:00,8,11,.727,0,1,.000,2,5,.400,4,5,9,1,0,0,2,5,18
jordare01,23:00,2,2,1.000,0,0,,4,6,.667,4,5,9,3,1,0,1,2,8
dudlech02,22:00,2,6,.333,0,0,,2,4,.500,2,6,8,2,1,3,2,2,6
onealje01,16:00,2,7,.286,0,1,.000,0,0,,2,1,3,1,0,0,1,2,4
mckieaa01,12:00,1,4,.250,0,2,.000,0,0,,0,2,2,1,0,0,2,1,2
butlemi02,12:00,1,3,.333,0,2,.000,0,0,,1,1,2,1,0,0,1,1,2
childra01,5:00,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,0,0
Team Totals,240,41,82,.500,5,23,.217,20,29,.690,14,41,55,27,5,7,15,24,107
