Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ellisda01,43:00,7,13,.538,2,6,.333,2,2,1.000,2,4,6,1,1,0,1,3,18
jacksma01,41:00,1,7,.143,0,3,.000,0,0,,1,4,5,12,3,0,4,3,2
ellisla01,35:00,11,19,.579,1,2,.500,5,7,.714,2,4,6,2,1,0,1,6,28
stithbr01,31:00,5,14,.357,0,4,.000,1,2,.500,1,2,3,3,2,0,0,1,11
johnser02,22:00,1,4,.250,0,0,,5,6,.833,3,2,5,0,2,2,3,4,7
hammoto01,29:00,1,6,.167,0,0,,3,4,.750,3,3,6,3,0,0,1,3,5
piercri01,20:00,4,10,.400,1,2,.500,9,10,.900,2,2,4,1,0,0,1,0,18
hamda01,12:00,2,4,.500,0,0,,1,2,.500,2,3,5,1,0,0,0,5,5
thompbr01,7:00,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,0,1,2,5
Team Totals,240,34,80,.425,5,19,.263,26,33,.788,16,24,40,23,9,2,12,27,99
Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
montrer01,35:00,2,3,.667,0,0,,0,0,,1,6,7,2,0,2,1,5,4
greenac01,28:00,2,4,.500,0,0,,1,2,.500,2,7,9,0,2,0,2,2,5
jacksji01,24:00,2,7,.286,1,4,.250,0,0,,1,2,3,4,2,0,2,3,5
mashbja01,21:00,4,8,.500,0,0,,6,6,1.000,2,1,3,1,1,0,4,3,14
cassesa01,21:00,5,9,.556,2,3,.667,0,0,,0,3,3,1,0,0,2,2,12
mccloge01,27:00,6,9,.667,2,3,.667,7,8,.875,1,2,3,0,1,0,0,4,21
harpede01,27:00,5,11,.455,2,3,.667,1,2,.500,0,2,2,8,2,0,1,0,13
finlemi01,25:00,3,5,.600,0,1,.000,0,0,,0,2,2,1,0,0,1,4,6
gatlich01,23:00,7,12,.583,0,0,,7,10,.700,2,3,5,0,0,1,1,5,21
milleol01,9:00,1,1,1.000,0,0,,1,4,.250,0,0,0,1,1,1,1,2,3
Team Totals,240,37,69,.536,7,14,.500,23,32,.719,9,28,37,18,9,4,15,30,104
