New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
kittlke01,48:00,8,15,.533,2,5,.400,2,2,1.000,0,3,3,2,1,0,1,1,20
jacksji01,46:00,7,18,.389,2,5,.400,5,6,.833,1,4,5,9,1,1,6,2,21
gillke01,41:00,9,19,.474,2,4,.500,4,10,.400,2,2,4,5,1,1,0,4,24
montrer01,39:00,2,7,.286,0,0,,0,1,.000,6,11,17,2,0,1,0,4,4
masseto01,36:00,3,8,.375,0,0,,1,3,.333,2,13,15,0,0,4,1,2,7
mcdanxa01,21:00,5,6,.833,0,0,,0,0,,2,2,4,5,0,0,0,2,10
kleinjo01,9:00,0,1,.000,0,0,,0,0,,1,3,4,0,0,1,0,2,0
Team Totals,240,34,74,.459,6,14,.429,12,22,.545,14,38,52,23,3,8,8,17,86
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mashbja01,40:00,2,11,.182,0,5,.000,0,0,,3,2,5,6,0,0,1,3,4
lenarvo01,32:00,6,13,.462,4,9,.444,0,0,,0,1,1,4,0,0,1,2,16
mournal01,32:00,5,14,.357,0,0,,0,0,,2,7,9,1,0,4,0,2,10
brownpj01,28:00,6,10,.600,0,0,,3,4,.750,4,7,11,2,1,2,1,1,15
hardati01,28:00,3,7,.429,1,3,.333,0,0,,0,1,1,5,0,0,1,2,7
majerda01,32:00,2,9,.222,2,7,.286,4,4,1.000,2,4,6,2,3,1,1,1,10
austiis01,23:00,3,10,.300,0,1,.000,2,2,1.000,1,3,4,2,0,0,1,2,8
crottjo01,13:00,1,3,.333,0,1,.000,2,3,.667,0,1,1,0,0,0,0,2,4
anderwi01,12:00,0,3,.000,0,0,,0,0,,0,1,1,0,0,1,2,1,0
Team Totals,240,28,80,.350,7,26,.269,11,13,.846,12,27,39,22,4,8,8,16,74
