Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
malonka01,44:00,17,27,.630,0,1,.000,5,6,.833,4,5,9,5,1,1,1,2,39
hornaje01,39:00,2,7,.286,0,1,.000,5,8,.625,0,2,2,5,2,1,1,3,9
stockjo01,38:00,3,7,.429,0,0,,0,0,,0,4,4,12,5,0,2,2,6
russebr01,34:00,2,6,.333,1,3,.333,0,0,,1,5,6,1,1,1,0,3,5
keefead01,5:00,1,3,.333,0,0,,0,0,,2,2,4,0,0,0,0,3,2
andersh01,23:00,3,7,.429,0,0,,0,0,,2,0,2,0,0,0,3,2,6
carran01,21:00,5,6,.833,0,0,,2,2,1.000,2,2,4,0,0,0,2,3,12
morrich01,17:00,0,1,.000,0,0,,2,2,1.000,0,1,1,1,1,0,0,5,2
eisleho01,11:00,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,5,0,0
fostegr01,6:00,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,1,1,2
ostergr01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
Team Totals,240,34,67,.507,1,5,.200,14,18,.778,11,26,37,24,10,3,16,24,83
Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
jordami01,45:00,9,26,.346,0,2,.000,10,11,.909,1,3,4,4,3,0,4,4,28
pippesc01,45:00,2,16,.125,0,7,.000,2,2,1.000,6,5,11,11,3,1,4,6,6
kukocto01,43:00,11,13,.846,4,6,.667,4,7,.571,1,5,6,0,1,1,2,2,30
harpero01,31:00,1,6,.167,1,1,1.000,0,0,,0,2,2,1,1,1,1,2,3
longllu01,23:00,3,8,.375,0,0,,0,0,,5,2,7,1,0,2,3,4,6
rodmade01,24:00,1,1,1.000,0,0,,0,0,,0,3,3,0,1,0,0,5,2
kerrst01,18:00,2,4,.500,2,3,.667,0,0,,0,0,0,2,0,0,0,1,6
burresc01,10:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,2,0,2,1,0
buechju01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,29,75,.387,7,20,.350,16,20,.800,13,20,33,19,11,5,16,25,81
