Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
jonesed02,43:00,5,13,.385,2,3,.667,3,4,.750,4,3,7,3,3,0,1,2,15
vanexni01,36:00,4,13,.308,1,8,.125,10,10,1.000,0,2,2,5,0,0,1,1,19
onealsh01,36:00,7,10,.700,0,0,,3,8,.375,4,5,9,0,1,4,3,3,17
foxri01,31:00,5,9,.556,2,4,.500,5,6,.833,0,0,0,4,2,0,3,3,17
campbel01,29:00,2,4,.500,0,0,,0,2,.000,2,6,8,1,0,4,1,6,4
bryanko01,29:00,4,10,.400,0,2,.000,11,12,.917,1,4,5,2,0,2,2,2,19
blounco01,16:00,3,4,.750,0,0,,0,0,,1,3,4,1,0,0,0,5,6
fishede01,12:00,0,3,.000,0,0,,0,0,,1,0,1,3,0,0,0,1,0
rooksse01,4:00,0,1,.000,0,0,,0,0,,1,3,4,0,0,0,0,2,0
bennema01,4:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0
Team Totals,240,30,68,.441,5,17,.294,32,42,.762,14,27,41,19,6,10,11,27,97
Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
malonka01,40:00,10,22,.455,0,0,,6,8,.750,3,6,9,6,1,1,3,4,26
hornaje01,35:00,5,10,.500,2,3,.667,6,6,1.000,2,1,3,4,1,0,1,4,18
eisleho01,32:00,5,11,.455,1,4,.250,1,1,1.000,1,3,4,7,0,0,0,4,12
fostegr01,27:00,6,7,.857,0,0,,2,4,.500,1,2,3,1,0,1,2,4,14
keefead01,25:00,2,3,.667,0,0,,1,1,1.000,1,2,3,2,0,0,3,5,5
russebr01,25:00,0,4,.000,0,2,.000,0,0,,1,4,5,1,0,0,1,2,0
vaughja01,16:00,2,7,.286,0,0,,2,2,1.000,1,2,3,2,0,0,0,3,6
ostergr01,14:00,2,2,1.000,0,0,,2,3,.667,0,3,3,1,0,2,0,2,6
andersh01,13:00,2,5,.400,0,0,,0,0,,2,3,5,1,0,0,1,4,4
carran01,13:00,0,4,.000,0,0,,1,2,.500,1,0,1,1,0,1,1,3,1
Team Totals,240,34,75,.453,3,9,.333,21,27,.778,13,26,39,26,2,5,12,35,92
