Vancouver Grizzlies
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
abdursh01,37:00,8,20,.400,0,0,,5,6,.833,3,6,9,2,0,0,3,5,21
reevebr01,33:00,2,6,.333,0,0,,0,2,.000,1,5,6,5,0,0,1,4,4
daniean01,32:00,6,9,.667,0,0,,1,1,1.000,0,1,1,5,0,0,2,1,13
thorpot01,32:00,4,9,.444,0,0,,1,2,.500,3,1,4,6,0,1,2,2,9
macksa01,15:00,2,8,.250,1,4,.250,0,0,,1,2,3,1,0,0,0,4,5
edwarbl01,23:00,4,10,.400,1,2,.500,0,1,.000,1,4,5,2,0,0,4,1,9
lynchge01,21:00,4,8,.500,0,0,,1,4,.250,1,1,2,3,2,1,3,3,9
maybele01,20:00,0,3,.000,0,0,,0,0,,0,0,0,3,1,0,2,2,0
chilcpe01,17:00,5,6,.833,2,2,1.000,0,0,,1,1,2,2,2,0,0,1,12
robinch01,7:00,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3
newbiiv01,3:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0
Team Totals,240,36,83,.434,5,11,.455,8,16,.500,11,21,32,30,5,2,17,24,85
Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mcdyean01,37:00,9,15,.600,0,0,,2,4,.500,4,5,9,1,2,4,0,3,20
kiddja01,30:00,2,6,.333,0,1,.000,0,0,,1,3,4,4,2,0,2,0,4
robincl02,29:00,5,12,.417,0,0,,2,4,.500,3,2,5,5,1,1,1,0,12
williho01,24:00,2,3,.667,0,0,,5,6,.833,2,3,5,2,1,2,2,1,9
chapmre01,22:00,3,8,.375,1,3,.333,2,4,.500,0,2,2,7,1,0,1,0,9
nashst01,27:00,4,8,.500,2,3,.667,0,0,,0,4,4,8,1,0,2,2,10
mannida01,24:00,7,10,.700,0,0,,0,0,,0,3,3,3,1,0,1,5,14
cebalce01,23:00,9,13,.692,1,2,.500,2,3,.667,1,6,7,3,1,0,2,4,21
bryanma01,19:00,2,3,.667,0,0,,0,0,,0,3,3,2,1,0,0,1,4
milicma01,5:00,2,3,.667,0,0,,0,1,.000,1,0,1,1,0,0,0,0,4
Team Totals,240,45,81,.556,4,9,.444,13,22,.591,12,31,43,36,11,7,11,16,107
