Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
hardati01,45:00,9,20,.450,3,9,.333,2,4,.500,1,2,3,10,1,0,3,2,23
brownpj01,45:00,5,9,.556,0,0,,2,4,.500,6,10,16,2,0,2,1,5,12
mournal01,40:00,7,13,.538,0,0,,6,10,.600,3,4,7,1,1,3,5,5,20
lenarvo01,27:00,3,9,.333,1,6,.167,0,2,.000,1,0,1,0,1,0,1,4,7
mashbja01,14:00,3,6,.500,0,1,.000,0,0,,2,1,3,2,1,0,2,3,6
majerda01,32:00,3,8,.375,2,6,.333,0,0,,0,4,4,2,0,0,1,4,8
askinke01,23:00,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,2,0
murdoer01,19:00,2,2,1.000,1,1,1.000,0,0,,1,3,4,4,2,0,1,1,5
austiis01,17:00,2,8,.250,0,0,,3,4,.750,1,2,3,1,0,1,4,1,7
millste01,3:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0
Team Totals,265,34,78,.436,7,24,.292,13,24,.542,16,27,43,23,7,6,18,27,88
Charlotte Hornets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ricegl01,49:00,14,23,.609,4,5,.800,10,11,.909,0,2,2,3,1,0,4,3,42
masonan01,49:00,8,13,.615,0,0,,3,5,.600,4,10,14,6,0,0,1,3,19
divacvl01,39:00,4,13,.308,0,1,.000,2,2,1.000,5,7,12,5,1,2,0,4,10
wesleda01,37:00,2,6,.333,0,1,.000,0,0,,0,2,2,4,1,0,4,4,4
phillbo01,22:00,1,3,.333,0,0,,0,0,,0,1,1,2,1,0,3,3,2
curryde01,25:00,2,8,.250,1,3,.333,0,0,,0,3,3,1,2,0,1,0,5
armstbj01,24:00,4,5,.800,0,1,.000,3,4,.750,0,1,1,8,1,0,1,3,11
geigema01,11:00,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,0,1,2
reidjr01,6:00,2,5,.400,0,0,,0,0,,2,0,2,0,0,0,1,2,4
beckco01,3:00,0,2,.000,0,0,,0,0,,0,1,1,0,1,0,0,0,0
Team Totals,265,38,80,.475,5,11,.455,18,22,.818,11,29,40,30,8,2,15,23,99
