Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
laettch01,40:00,5,12,.417,0,1,.000,3,3,1.000,1,4,5,1,3,0,0,3,13
mutomdi01,40:00,3,11,.273,0,0,,4,5,.800,7,7,14,4,1,3,0,2,10
smithst01,38:00,7,15,.467,0,2,.000,6,7,.857,1,2,3,3,3,0,2,2,20
recasel01,36:00,4,10,.400,1,4,.250,1,1,1.000,0,4,4,3,0,0,3,3,10
corbity01,31:00,5,13,.385,0,0,,0,0,,2,3,5,2,1,0,3,1,10
grayed01,20:00,4,11,.364,2,3,.667,1,1,1.000,0,0,0,1,1,0,1,5,11
hendeal01,16:00,1,4,.250,0,0,,0,0,,0,0,0,1,1,0,0,3,2
brownch01,8:00,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
crawfch01,4:00,2,2,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,6
millean01,4:00,0,0,,0,0,,0,0,,1,0,1,0,1,0,0,0,0
andergr01,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,31,81,.383,3,10,.300,17,19,.895,12,20,32,15,11,3,9,19,82
Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ostergr01,37:00,7,8,.875,0,0,,1,1,1.000,3,7,10,0,0,4,2,5,15
malonka01,34:00,7,13,.538,0,0,,6,8,.750,2,7,9,6,1,2,3,3,20
stockjo01,33:00,6,9,.667,1,1,1.000,4,5,.800,0,4,4,12,3,2,2,1,17
hornaje01,24:00,5,9,.556,0,1,.000,4,5,.800,0,1,1,2,0,0,2,0,14
keefead01,24:00,2,6,.333,0,0,,0,0,,3,3,6,0,0,1,0,2,4
andersh01,24:00,5,6,.833,0,0,,2,2,1.000,0,2,2,1,2,0,3,1,12
russebr01,24:00,4,6,.667,1,2,.500,0,0,,0,3,3,2,0,0,0,2,9
fostegr01,22:00,1,8,.125,0,0,,0,0,,1,4,5,1,0,0,0,2,2
eisleho01,12:00,0,3,.000,0,1,.000,0,0,,0,1,1,3,0,0,2,0,0
morrich01,3:00,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,1,1,2
vaughja01,3:00,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,0,0,2
Team Totals,240,39,73,.534,2,6,.333,17,21,.810,10,32,42,29,6,9,15,17,97
