Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
walkean02,41:00,10,25,.400,0,1,.000,3,5,.600,2,6,8,3,3,1,4,2,23
mccarwa01,41:00,5,15,.333,0,3,.000,0,0,,5,0,5,1,2,0,4,4,10
mercero01,35:00,7,15,.467,0,0,,4,5,.800,1,3,4,0,1,2,1,5,18
anderke01,33:00,6,15,.400,1,3,.333,3,3,1.000,0,5,5,6,5,0,0,4,16
declean01,28:00,3,6,.500,0,0,,0,2,.000,3,7,10,2,1,1,0,1,6
knightr01,20:00,6,7,.857,0,0,,0,0,,4,4,8,2,1,2,0,3,12
barroda01,15:00,3,8,.375,1,3,.333,0,0,,0,0,0,2,0,0,1,0,7
minorgr01,15:00,0,3,.000,0,0,,0,0,,1,1,2,1,0,0,0,0,0
bowenbr01,12:00,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,4,1
Team Totals,240,40,95,.421,2,10,.200,11,17,.647,16,27,43,17,13,6,10,23,93
Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
finlemi01,40:00,6,15,.400,1,5,.200,3,5,.600,2,6,8,11,0,0,4,1,16
anstech01,38:00,11,15,.733,0,0,,4,6,.667,1,7,8,1,2,1,4,3,26
reevekh01,37:00,5,6,.833,1,1,1.000,10,11,.909,2,2,4,6,0,0,3,2,21
stricer01,29:00,3,10,.300,1,3,.333,0,0,,0,4,4,3,0,0,3,1,7
greenac01,27:00,1,8,.125,0,0,,0,0,,1,8,9,2,0,1,1,1,2
davishu01,22:00,2,7,.286,1,2,.500,2,2,1.000,0,1,1,0,0,0,2,2,7
muursma01,17:00,3,4,.750,2,2,1.000,0,0,,1,1,2,1,1,3,0,2,8
bradlsh01,16:00,4,6,.667,0,0,,2,3,.667,1,4,5,0,1,2,1,6,10
wellsbu01,14:00,0,1,.000,0,0,,2,2,1.000,0,1,1,1,0,1,3,1,2
Team Totals,240,35,72,.486,6,13,.462,23,29,.793,8,34,42,25,4,8,21,19,99
