Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
olajuha01,32:00,6,13,.462,0,0,,0,0,,3,10,13,2,0,2,6,2,12
willike02,31:00,8,11,.727,0,0,,4,4,1.000,4,0,4,0,1,1,5,3,20
eliema01,27:00,0,3,.000,0,2,.000,0,0,,0,0,0,4,0,0,0,0,0
malonma01,24:00,1,4,.250,1,3,.333,2,2,1.000,0,0,0,4,0,0,4,1,5
bullama01,22:00,2,3,.667,0,0,,0,0,,0,4,4,1,2,1,1,1,4
pricebr01,24:00,2,7,.286,2,4,.500,1,1,1.000,0,2,2,2,0,0,3,3,7
johnsed03,22:00,2,8,.250,0,3,.000,1,1,1.000,0,1,1,0,0,0,1,1,5
rhodero01,21:00,2,2,1.000,0,0,,0,2,.000,1,1,2,2,2,1,2,1,4
barklch01,18:00,3,7,.429,0,0,,2,2,1.000,0,4,4,2,0,0,1,3,8
harriot01,15:00,3,6,.500,0,0,,0,0,,0,0,0,0,1,0,0,1,6
davisem01,4:00,2,3,.667,0,1,.000,0,0,,1,0,1,1,0,0,1,0,4
Team Totals,240,31,67,.463,3,13,.231,10,12,.833,9,22,31,18,6,5,24,16,75
Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
grantho01,40:00,9,15,.600,0,0,,1,1,1.000,4,3,7,1,2,2,0,0,19
harpede01,35:00,6,14,.429,1,5,.200,0,0,,0,1,1,9,1,0,0,2,13
outlabo01,34:00,5,12,.417,1,1,1.000,2,2,1.000,3,1,4,7,5,0,1,3,13
wilkige01,32:00,2,9,.222,0,2,.000,0,0,,0,2,2,3,2,0,4,2,4
schayda01,29:00,5,7,.714,0,0,,0,0,,4,5,9,0,1,1,2,0,10
stronde01,26:00,9,13,.692,0,0,,2,3,.667,2,5,7,2,0,0,0,1,20
pricema01,22:00,5,11,.455,0,0,,1,2,.500,0,0,0,5,1,0,2,1,11
benoida01,14:00,3,7,.429,0,2,.000,1,2,.500,3,4,7,1,1,0,0,1,7
ollieke01,5:00,1,1,1.000,0,0,,1,2,.500,0,0,0,1,1,0,2,0,3
lawsoja01,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
edwarke01,1:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,45,90,.500,2,11,.182,8,12,.667,16,22,38,29,14,3,11,11,100
