Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
kempsh01,43:00,8,19,.421,0,1,.000,10,14,.714,6,8,14,2,1,1,4,1,26
knighbr01,41:00,5,9,.556,0,1,.000,4,5,.800,1,4,5,15,5,0,0,1,14
persowe01,41:00,5,8,.625,3,6,.500,1,2,.500,0,3,3,2,6,1,1,0,14
hendece02,35:00,2,10,.200,0,0,,2,2,1.000,0,2,2,0,0,0,1,4,6
ilgauzy01,34:00,7,13,.538,0,0,,2,2,1.000,1,2,3,0,2,0,1,4,16
surabo01,24:00,2,5,.400,0,2,.000,3,6,.500,0,2,2,1,1,0,2,4,7
potapvi01,13:00,2,4,.500,0,0,,3,6,.500,2,2,4,0,0,0,1,1,7
anderde01,6:00,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,1,1,2
ferryda01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
thomaca01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,32,70,.457,3,10,.300,25,37,.676,10,23,33,21,15,2,11,16,92
Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
hunteli01,41:00,7,13,.538,3,6,.500,0,0,,2,2,4,1,0,0,4,2,17
hillgr01,39:00,5,15,.333,0,0,,6,8,.750,1,5,6,10,2,0,3,4,16
delebi01,35:00,6,9,.667,0,0,,0,2,.000,2,6,8,2,0,1,3,2,12
dumarjo01,31:00,6,12,.500,3,7,.429,0,0,,0,1,1,3,0,0,2,2,15
reiddo01,14:00,1,2,.500,0,0,,2,2,1.000,2,3,5,1,0,2,0,4,4
stackje01,29:00,3,9,.333,0,0,,0,0,,2,4,6,4,0,1,6,3,6
willije01,27:00,4,4,1.000,0,0,,1,2,.500,0,2,2,0,0,0,1,2,9
mahorri01,18:00,5,6,.833,0,0,,0,0,,1,4,5,0,0,0,1,5,10
sealyma01,5:00,0,0,,0,0,,1,2,.500,0,0,0,2,0,0,0,0,1
hensost01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,37,70,.529,6,13,.462,10,16,.625,10,27,37,23,2,4,20,24,90
