Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
currymi01,43:00,8,13,.615,0,0,,4,4,1.000,0,1,1,2,1,0,3,5,20
allenra02,41:00,5,12,.417,0,3,.000,9,13,.692,3,3,6,8,1,0,0,1,19
brandte01,40:00,8,14,.571,2,4,.500,4,4,1.000,1,3,4,8,3,1,2,2,22
gilliar01,29:00,5,8,.625,0,0,,6,6,1.000,1,6,7,1,1,1,2,1,16
johnser02,25:00,3,8,.375,0,0,,2,10,.200,5,6,11,0,1,0,1,4,8
honeyje01,24:00,5,8,.625,1,2,.500,6,6,1.000,1,8,9,0,0,0,4,4,17
perryel01,21:00,4,10,.400,1,2,.500,2,2,1.000,0,1,1,1,2,0,3,0,11
feickja01,17:00,1,2,.500,0,0,,2,2,1.000,1,5,6,0,1,0,1,4,4
Team Totals,240,39,75,.520,4,11,.364,35,47,.745,12,33,45,20,10,2,16,21,117
Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mccarwa01,42:00,5,13,.385,1,4,.250,3,4,.750,2,3,5,3,2,0,3,2,14
walkean02,41:00,10,16,.625,2,4,.500,2,7,.286,1,7,8,3,3,0,2,6,24
barroda01,32:00,4,13,.308,2,6,.333,4,4,1.000,0,2,2,9,0,0,2,2,14
mercero01,29:00,5,15,.333,0,0,,1,2,.500,2,1,3,1,1,0,3,2,11
tabakza01,10:00,0,4,.000,0,0,,1,2,.500,1,2,3,1,0,1,1,3,1
minorgr01,27:00,6,7,.857,1,1,1.000,3,3,1.000,2,1,3,1,2,0,3,3,16
knightr01,22:00,4,7,.571,0,0,,0,1,.000,2,3,5,1,0,1,3,5,8
edneyty01,20:00,5,11,.455,2,3,.667,5,6,.833,0,2,2,6,2,0,0,4,17
declean01,16:00,2,3,.667,0,0,,0,2,.000,4,3,7,0,1,0,0,4,4
jonesdo01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0
Team Totals,240,41,89,.461,8,18,.444,19,31,.613,14,24,38,25,11,3,17,31,109
