Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
olowomi01,39:00,8,12,.667,0,0,,0,1,.000,6,7,13,2,0,1,5,3,16
tayloma01,33:00,4,10,.400,0,0,,3,4,.750,1,1,2,2,0,1,1,6,11
martida01,31:00,6,13,.462,2,5,.400,1,1,1.000,0,1,1,5,1,0,3,0,15
nesbyty01,29:00,6,11,.545,1,1,1.000,1,1,1.000,0,2,2,1,1,0,1,5,14
smithch04,13:00,3,6,.500,0,2,.000,0,0,,0,1,1,1,1,0,0,4,6
murrala01,29:00,5,12,.417,1,5,.200,4,4,1.000,1,4,5,2,1,0,4,1,15
piatker01,25:00,3,7,.429,1,4,.250,1,1,1.000,1,3,4,0,0,0,0,2,8
hudsotr01,17:00,1,2,.500,1,2,.500,2,2,1.000,0,3,3,3,0,0,4,6,5
wrighlo02,13:00,3,4,.750,0,0,,0,0,,1,1,2,0,0,1,0,1,6
rogerro01,11:00,1,2,.500,0,0,,0,0,,0,0,0,1,3,1,1,2,2
Team Totals,240,40,79,.506,6,19,.316,12,14,.857,10,23,33,17,7,4,19,30,98
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
paytoga01,40:00,8,16,.500,1,2,.500,9,11,.818,2,2,4,11,8,0,5,2,26
schrede01,40:00,7,13,.538,0,2,.000,11,14,.786,1,3,4,6,1,1,1,3,25
hawkihe01,32:00,5,9,.556,2,4,.500,2,2,1.000,0,3,3,1,1,0,1,0,14
polynol01,32:00,4,6,.667,0,0,,1,4,.250,3,5,8,0,0,1,2,5,9
owensbi01,29:00,1,5,.200,0,0,,0,0,,0,3,3,2,0,1,2,3,2
ellisda01,30:00,7,13,.538,3,7,.429,3,3,1.000,0,2,2,1,0,0,2,1,20
williaa01,18:00,2,5,.400,0,0,,2,2,1.000,4,3,7,1,0,2,2,1,6
crottjo01,13:00,0,3,.000,0,0,,0,0,,0,1,1,4,0,0,0,0,0
mccoyje01,6:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2
Team Totals,240,35,72,.486,6,15,.400,28,36,.778,10,22,32,26,10,5,15,16,104
