Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
dampier01,39:00,7,11,.636,0,0,,8,12,.667,5,8,13,3,0,3,2,2,22
starkjo01,36:00,3,12,.250,2,5,.400,3,3,1.000,1,3,4,5,2,0,3,0,11
colesbi01,31:00,3,8,.375,0,1,.000,0,0,,0,2,2,3,0,0,2,2,6
jamisan01,30:00,4,10,.400,0,1,.000,6,6,1.000,3,3,6,0,2,2,3,4,14
caffeja01,20:00,2,4,.500,0,0,,0,2,.000,2,0,2,1,1,0,3,4,4
millsch01,28:00,3,9,.333,0,3,.000,6,7,.857,0,7,7,2,0,0,0,4,12
marshdo01,16:00,1,5,.200,1,2,.500,0,0,,2,6,8,0,1,0,1,4,3
cummite01,15:00,1,5,.200,0,0,,2,2,1.000,0,0,0,0,0,0,1,3,4
boguemu01,10:00,3,3,1.000,0,0,,0,0,,0,1,1,3,0,0,2,0,6
delkto01,7:00,1,4,.250,0,3,.000,0,0,,1,0,1,2,0,0,2,1,2
spencfe01,5:00,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,1,0
foylead01,3:00,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,1,0
Team Totals,240,28,71,.394,3,15,.200,25,32,.781,14,32,46,19,8,5,19,26,84
Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mcdyean01,44:00,7,17,.412,0,0,,11,15,.733,3,7,10,2,4,6,2,2,25
vanexni01,39:00,3,13,.231,1,6,.167,2,2,1.000,0,5,5,13,1,0,2,0,9
billuch01,36:00,7,11,.636,2,4,.500,4,4,1.000,1,2,3,6,2,1,1,2,20
fortsda01,30:00,5,8,.625,0,0,,5,6,.833,2,6,8,1,0,2,2,3,15
stithbr01,28:00,5,9,.556,0,2,.000,0,0,,0,1,1,4,1,0,1,1,10
washier01,23:00,2,4,.500,2,4,.500,0,0,,0,2,2,1,2,1,3,5,6
herreca01,22:00,2,4,.500,0,0,,0,0,,2,1,3,0,1,1,0,4,4
taylojo01,15:00,1,4,.250,1,2,.500,2,2,1.000,0,1,1,1,1,0,0,4,5
willier01,3:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2
Team Totals,240,33,72,.458,6,18,.333,24,29,.828,8,25,33,28,12,11,11,21,96
