Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
hawkihe01,39:00,0,4,.000,0,2,.000,3,3,1.000,0,2,2,1,3,0,5,2,3
brandel01,36:00,9,17,.529,0,0,,0,0,,4,5,9,5,1,1,2,3,18
brownra02,36:00,6,11,.545,0,0,,0,0,,0,2,2,6,0,2,3,5,12
artesro01,28:00,3,9,.333,0,3,.000,0,0,,1,8,9,4,1,0,1,3,6
perduwi01,19:00,1,5,.200,0,0,,3,4,.750,3,2,5,1,0,0,1,3,5
davidko01,26:00,4,7,.571,0,0,,1,1,1.000,0,5,5,1,0,0,3,5,9
willode01,21:00,5,11,.455,1,4,.250,1,2,.500,0,1,1,2,0,0,0,2,12
simpkdi01,17:00,5,8,.625,0,0,,0,0,,3,4,7,2,0,0,3,1,10
anstech01,15:00,3,10,.300,0,1,.000,2,2,1.000,2,1,3,0,1,0,0,2,8
benjaco01,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0
Team Totals,240,36,82,.439,1,10,.100,10,12,.833,13,30,43,22,6,3,19,27,83
Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
finlemi01,46:00,9,20,.450,1,1,1.000,5,6,.833,1,4,5,5,0,2,3,0,24
bradlsh01,35:00,6,8,.750,0,0,,5,5,1.000,1,5,6,1,1,5,1,2,17
nashst01,35:00,3,7,.429,1,3,.333,0,0,,0,3,3,7,0,0,3,3,7
nowitdi01,34:00,6,11,.545,0,2,.000,5,5,1.000,0,6,6,3,4,0,0,1,17
stricer01,26:00,3,9,.333,0,0,,0,0,,1,1,2,7,1,0,2,1,6
davishu01,28:00,4,6,.667,2,3,.667,2,2,1.000,0,3,3,4,0,0,3,0,12
cebalce01,24:00,5,11,.455,0,0,,0,0,,2,5,7,0,0,0,1,2,10
rooksse01,12:00,1,3,.333,0,0,,0,0,,1,1,2,0,1,0,0,3,2
Team Totals,240,37,75,.493,4,9,.444,17,18,.944,6,28,34,27,7,7,13,12,95
