San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
robinda01,39:00,2,9,.222,0,0,,3,4,.750,1,9,10,4,2,0,2,1,7
duncati01,37:00,12,21,.571,0,0,,3,4,.750,5,8,13,2,1,1,3,4,27
eliema01,37:00,4,11,.364,4,7,.571,2,2,1.000,0,3,3,6,3,0,1,3,14
johnsav01,33:00,9,20,.450,0,0,,2,4,.500,1,1,2,5,0,2,1,2,20
brownch01,26:00,5,7,.714,0,0,,0,0,,0,5,5,3,0,0,3,1,10
portete01,27:00,1,6,.167,1,5,.200,1,1,1.000,0,1,1,2,0,0,1,2,4
jacksja01,21:00,2,7,.286,1,6,.167,0,0,,2,1,3,2,1,0,1,2,5
rosema01,18:00,1,5,.200,0,0,,3,6,.500,0,3,3,1,2,1,1,3,5
spencfe01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
Team Totals,240,36,86,.419,6,18,.333,14,21,.667,9,31,40,25,9,4,13,19,92
Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
cartevi01,36:00,15,25,.600,1,1,1.000,8,8,1.000,1,6,7,2,0,1,1,1,39
davisan01,33:00,3,7,.429,0,0,,4,6,.667,1,6,7,2,0,3,1,4,10
oaklech01,31:00,4,7,.571,0,0,,0,0,,3,8,11,4,2,1,3,5,8
chrisdo01,24:00,3,6,.500,1,3,.333,5,5,1.000,0,3,3,9,0,0,0,2,12
brownde01,20:00,2,6,.333,1,2,.500,0,0,,0,2,2,2,2,1,2,2,5
mcgratr01,30:00,6,14,.429,0,0,,4,5,.800,2,4,6,3,1,2,2,0,16
willike02,21:00,1,2,.500,0,0,,0,0,,3,4,7,1,0,2,1,3,2
boguemu01,18:00,1,5,.200,0,0,,0,0,,0,0,0,1,3,0,1,1,2
curryde01,16:00,1,6,.167,0,2,.000,0,0,,1,0,1,2,0,1,2,0,2
thomajo02,7:00,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,3,2
stewami01,4:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0
Team Totals,240,37,81,.457,3,8,.375,21,24,.875,12,33,45,26,8,11,14,23,98
