Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
walkean02,42:00,12,20,.600,1,4,.250,3,5,.600,0,5,5,2,0,0,4,4,28
anderke01,40:00,7,14,.500,0,1,.000,4,4,1.000,0,5,5,5,1,0,2,2,18
griffad01,35:00,4,6,.667,0,0,,0,0,,4,5,9,2,3,0,1,3,8
willier01,23:00,1,6,.167,0,0,,0,0,,0,6,6,2,0,0,0,2,2
potapvi01,19:00,5,6,.833,0,0,,0,0,,2,2,4,0,0,0,3,3,10
piercpa01,34:00,6,17,.353,1,5,.200,11,12,.917,1,5,6,7,2,0,3,2,24
battito01,26:00,2,5,.400,0,0,,4,8,.500,4,3,7,1,0,1,3,2,8
barroda01,8:00,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2
fortsda01,8:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,3,0
cheanca01,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
Team Totals,240,38,77,.494,2,11,.182,22,29,.759,11,33,44,19,6,1,17,22,100
Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
tayloma01,48:00,12,22,.545,0,1,.000,2,4,.500,3,4,7,1,0,0,4,4,26
nesbyty01,43:00,9,20,.450,2,5,.400,2,2,1.000,3,4,7,2,4,2,1,4,22
piatker01,39:00,6,11,.545,3,6,.500,0,1,.000,1,3,4,2,0,0,0,3,15
hudsotr01,36:00,4,11,.364,2,5,.400,5,6,.833,0,2,2,9,0,0,2,0,15
odomla01,36:00,6,13,.462,0,1,.000,3,4,.750,2,9,11,3,5,3,4,6,15
closske01,19:00,3,4,.750,0,0,,1,4,.250,0,3,3,2,0,1,0,1,7
jonesch03,17:00,1,7,.143,1,4,.250,0,0,,1,1,2,3,0,0,0,1,3
murdoer01,2:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0
Team Totals,240,41,88,.466,8,22,.364,13,21,.619,10,26,36,23,9,6,11,20,103
