Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
russebr01,42:00,8,14,.571,3,8,.375,4,6,.667,0,5,5,4,3,0,2,3,23
malonka01,37:00,9,20,.450,0,1,.000,5,6,.833,5,1,6,3,0,0,1,3,23
polynol01,28:00,1,4,.250,0,0,,2,2,1.000,4,2,6,0,0,1,1,3,4
stockjo01,27:00,5,8,.625,1,1,1.000,1,2,.500,0,2,2,6,1,0,2,2,12
hornaje01,22:00,1,7,.143,0,1,.000,2,2,1.000,0,0,0,5,0,0,0,2,4
eisleho01,26:00,3,7,.429,1,4,.250,0,1,.000,0,2,2,7,1,0,3,2,7
lewisqu01,19:00,3,8,.375,2,3,.667,1,2,.500,0,2,2,0,0,0,1,4,9
ostergr01,16:00,3,4,.750,0,0,,0,2,.000,1,2,3,0,0,0,1,5,6
gilliar01,15:00,1,5,.200,0,0,,0,0,,0,2,2,1,0,0,1,3,2
vaughja01,5:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2
keefead01,3:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Team Totals,240,35,79,.443,7,18,.389,15,23,.652,10,19,29,26,5,1,12,27,92
Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
stoudda01,32:00,5,10,.500,0,2,.000,5,6,.833,2,2,4,9,1,0,1,1,15
smithst01,31:00,6,12,.500,4,5,.800,0,1,.000,0,0,0,2,0,0,1,1,16
sabonar01,30:00,5,9,.556,0,0,,7,8,.875,2,5,7,1,1,0,1,4,17
pippesc01,30:00,3,7,.429,3,4,.750,0,0,,1,4,5,5,1,0,2,4,9
grantbr01,25:00,1,2,.500,0,0,,4,4,1.000,2,2,4,0,0,0,2,3,6
wallara01,31:00,7,14,.500,0,1,.000,3,4,.750,4,5,9,1,1,0,2,3,17
schrede01,21:00,3,5,.600,1,1,1.000,2,2,1.000,0,5,5,3,0,0,1,2,9
anthogr01,16:00,2,4,.500,0,1,.000,4,6,.667,0,4,4,1,0,0,0,1,8
wellsbo01,13:00,0,4,.000,0,1,.000,2,2,1.000,0,0,0,0,1,0,0,3,2
onealje01,11:00,1,1,1.000,0,0,,0,0,,0,3,3,0,0,1,1,0,2
Team Totals,240,33,68,.485,8,15,.533,27,33,.818,11,30,41,22,5,1,11,22,101
