New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
marbust01,50:00,14,26,.538,0,2,.000,7,9,.778,1,1,2,6,3,0,3,4,35
vanhoke01,43:00,9,22,.409,0,2,.000,6,6,1.000,4,8,12,2,1,0,1,1,24
kittlke01,42:00,6,15,.400,1,6,.167,4,5,.800,0,3,3,2,2,0,1,3,17
gillke01,33:00,3,12,.250,0,0,,2,2,1.000,0,2,2,0,2,1,1,2,8
mcilvji01,12:00,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0
eschmev01,28:00,1,1,1.000,0,0,,0,0,,2,7,9,1,1,2,0,6,2
newmajo01,20:00,2,4,.500,2,3,.667,0,0,,0,3,3,1,1,0,3,2,6
feickja01,13:00,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0
harrilu01,11:00,0,5,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,0,0
burresc01,10:00,0,2,.000,0,0,,0,0,,2,0,2,0,0,1,0,3,0
perryel01,3:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
Team Totals,265,35,91,.385,3,15,.200,19,22,.864,10,27,37,15,10,4,9,24,92
Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
andersh01,43:00,5,11,.455,2,4,.500,1,2,.500,1,4,5,4,1,1,1,1,13
francst01,41:00,7,14,.500,1,2,.500,0,0,,2,6,8,3,2,1,5,4,15
thomake01,35:00,5,12,.417,0,0,,2,3,.667,1,7,8,5,0,0,2,2,12
olajuha01,24:00,5,9,.556,0,0,,2,3,.667,5,2,7,2,0,3,4,2,12
williwa02,20:00,3,6,.500,2,2,1.000,0,0,,2,1,3,2,1,1,3,3,8
catoke01,26:00,4,9,.444,0,0,,3,3,1.000,1,6,7,0,0,5,1,5,11
moblecu01,25:00,5,13,.385,0,2,.000,4,6,.667,0,7,7,1,1,0,2,3,14
norrimo01,21:00,2,7,.286,0,2,.000,1,2,.500,1,4,5,4,0,0,2,1,5
rogerca01,18:00,3,5,.600,0,0,,1,1,1.000,0,2,2,1,0,2,1,1,7
drewbr01,8:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2
millean01,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Team Totals,265,40,88,.455,5,12,.417,14,20,.700,13,40,53,22,5,13,21,22,99
