New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
houstal01,42:00,14,22,.636,2,4,.500,3,3,1.000,0,1,1,3,0,0,1,2,33
sprewla01,41:00,7,17,.412,2,6,.333,2,2,1.000,0,3,3,2,4,0,3,1,18
ewingpa01,32:00,3,9,.333,0,0,,2,2,1.000,0,6,6,0,1,0,4,2,8
wardch01,24:00,2,6,.333,1,3,.333,0,0,,0,4,4,3,0,0,0,2,5
johnsla02,22:00,5,15,.333,0,3,.000,1,1,1.000,4,1,5,2,0,0,1,4,11
thomaku01,24:00,4,9,.444,0,1,.000,2,2,1.000,3,7,10,0,1,1,1,3,10
childch01,24:00,0,4,.000,0,1,.000,2,2,1.000,2,3,5,1,0,0,3,1,2
cambyma01,23:00,1,1,1.000,0,0,,2,2,1.000,2,4,6,1,0,1,1,5,4
wallajo01,8:00,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,1,2,4
Team Totals,240,38,86,.442,5,18,.278,14,14,1.000,11,29,40,12,6,2,15,22,95
Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
webbech01,44:00,9,19,.474,0,1,.000,3,4,.750,2,8,10,11,1,2,0,3,21
willija02,35:00,3,6,.500,3,4,.750,2,2,1.000,0,2,2,4,1,0,4,1,11
divacvl01,33:00,9,16,.563,0,0,,1,4,.250,5,3,8,5,2,2,4,3,19
willico02,27:00,5,10,.500,0,0,,2,2,1.000,2,4,6,1,0,0,0,1,12
anderni01,21:00,1,3,.333,0,2,.000,0,0,,0,5,5,3,0,0,1,1,2
stojape01,27:00,6,13,.462,1,4,.250,7,8,.875,1,3,4,2,1,0,2,3,20
corbity01,22:00,2,5,.400,0,0,,2,2,1.000,0,3,3,0,1,0,0,2,6
pollasc01,15:00,1,1,1.000,0,0,,1,2,.500,0,0,0,0,2,1,0,1,3
delkto01,12:00,2,2,1.000,0,0,,2,2,1.000,0,0,0,2,0,0,0,1,6
fundela01,4:00,1,2,.500,0,0,,1,2,.500,0,0,0,0,0,0,0,0,3
Team Totals,240,39,77,.506,4,11,.364,21,28,.750,10,28,38,28,8,5,11,16,103
