Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
francst01,32:00,3,6,.500,0,1,.000,3,3,1.000,2,1,3,6,4,0,4,3,9,-21
tayloma01,28:00,5,11,.455,0,0,,0,0,,0,1,1,0,0,0,1,4,10,-22
olajuha01,26:00,8,12,.667,0,0,,1,3,.333,0,2,2,0,0,0,0,2,17,-20
williwa02,26:00,3,12,.250,1,4,.250,2,2,1.000,0,3,3,0,3,0,1,1,9,-18
andersh01,22:00,1,2,.500,0,1,.000,0,0,,0,2,2,1,1,0,1,4,2,-15
moblecu01,25:00,3,7,.429,0,1,.000,2,2,1.000,0,4,4,3,1,0,2,2,8,-10
collija02,21:00,5,9,.556,0,0,,2,2,1.000,1,3,4,2,0,2,1,2,12,-3
thomake01,20:00,3,6,.500,0,1,.000,0,0,,1,1,2,3,0,0,1,1,6,-1
norrimo01,16:00,2,4,.500,0,0,,0,0,,0,1,1,3,1,0,2,3,4,-2
bullama01,14:00,3,5,.600,1,3,.333,0,0,,0,1,1,0,0,0,0,0,7,+1
langhda01,5:00,1,4,.250,0,0,,0,0,,1,1,2,0,0,0,0,0,2,-2
rogerca01,5:00,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,2,-2
Team Totals,240,37,78,.474,2,11,.182,12,14,.857,5,20,25,18,10,2,13,23,88,
Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
stoudda01,36:00,9,13,.692,2,2,1.000,3,3,1.000,1,1,2,8,3,0,2,2,23,+23
smithst01,34:00,9,15,.600,3,3,1.000,4,6,.667,0,8,8,7,1,0,0,1,25,+31
wallara01,33:00,4,8,.500,0,1,.000,0,0,,0,6,6,3,0,3,3,3,8,+24
davisda01,32:00,4,5,.800,0,0,,6,8,.750,1,10,11,1,1,1,0,3,14,+20
augmost01,22:00,3,5,.600,0,0,,0,0,,0,1,1,3,1,0,2,2,6,+17
kempsh01,24:00,3,8,.375,0,0,,2,3,.667,0,5,5,1,1,1,5,3,8,+2
wellsbo01,18:00,6,7,.857,0,0,,2,6,.333,0,2,2,2,0,0,2,5,14,-3
pippesc01,17:00,2,4,.500,1,1,1.000,0,0,,0,3,3,3,0,0,1,0,5,-1
anthogr01,12:00,1,2,.500,1,2,.500,1,2,.500,0,0,0,1,0,0,0,0,4,0
perduwi01,7:00,1,2,.500,0,0,,0,0,,1,0,1,1,0,1,0,0,2,0
barkler01,5:00,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+2
Team Totals,240,43,71,.606,7,9,.778,18,28,.643,3,36,39,31,7,6,15,19,111,
