New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
cambyma01,33:00,8,10,.800,0,0,,4,6,.667,5,12,17,0,0,2,2,4,20,-16
johnsla02,33:00,3,10,.300,0,1,.000,3,4,.750,2,3,5,2,1,0,1,3,9,-15
wardch01,31:00,2,10,.200,1,5,.200,4,4,1.000,0,3,3,6,2,0,3,3,9,-4
houstal01,30:00,5,16,.313,2,4,.500,0,0,,0,2,2,1,0,0,3,3,12,-9
sprewla01,30:00,4,14,.286,0,3,.000,2,2,1.000,1,0,1,1,4,0,1,0,10,-19
ricegl01,24:00,2,11,.182,0,3,.000,0,0,,5,1,6,0,0,0,1,3,4,-6
thomaku01,20:00,3,3,1.000,0,0,,0,0,,2,5,7,2,4,0,1,5,6,-3
childch01,17:00,0,2,.000,0,0,,0,0,,0,1,1,4,1,1,4,5,0,-14
stricer01,7:00,1,4,.250,1,4,.250,0,0,,0,1,1,0,0,0,1,1,3,-7
postela01,6:00,1,4,.250,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-4
knightr01,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-4
spencfe01,4:00,0,0,,0,0,,0,0,,2,1,3,0,0,0,0,0,0,-4
Team Totals,240,29,85,.341,4,20,.200,13,16,.813,17,29,46,17,12,3,18,27,75,
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
paytoga01,46:00,8,16,.500,3,4,.750,6,6,1.000,0,8,8,13,3,0,3,2,25,+16
bakervi01,40:00,5,9,.556,0,0,,1,4,.250,4,5,9,1,2,3,3,3,11,+15
lewisra02,38:00,6,12,.500,4,7,.571,6,7,.857,1,4,5,3,1,1,2,0,22,+14
patteru01,34:00,4,10,.400,0,1,.000,2,7,.286,2,2,4,4,0,0,2,2,10,+24
ewingpa01,31:00,4,9,.444,0,0,,2,2,1.000,2,7,9,1,0,3,5,4,10,+13
barrybr01,23:00,5,9,.556,4,7,.571,0,0,,0,4,4,2,0,0,1,3,14,+13
ellispe01,12:00,0,1,.000,0,0,,0,0,,1,3,4,1,0,2,2,2,0,+9
mccoyje01,10:00,2,3,.667,0,0,,0,1,.000,1,1,2,1,0,1,2,4,4,0
davisem01,4:00,0,2,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,0,0,+1
willish01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
wolkoru01,1:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0
Team Totals,240,34,71,.479,11,21,.524,17,27,.630,11,34,45,26,8,10,20,20,96,
